
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,37-193,ATL,@,NOR,L 17-23,6,3,36,12.00,1,,1,6,0.0,0,0
2,2,2013-09-15,37-200,ATL,,STL,W 31-24,8,4,33,8.25,0,,0,0,0.0,0,0
3,3,2013-09-22,37-207,ATL,@,MIA,L 23-27,5,4,24,6.00,0,,0,0,0.0,0,0
4,4,2013-09-29,37-214,ATL,,NWE,L 23-30,14,12,149,12.42,2,,2,12,0.0,0,0
5,5,2013-10-07,37-222,ATL,,NYJ,L 28-30,14,10,97,9.70,0,,0,0,0.0,0,0
6,6,2013-10-20,37-235,ATL,,TAM,W 31-23,4,2,30,15.00,0,,0,0,0.0,0,0
7,7,2013-10-27,37-242,ATL,@,ARI,L 13-27,8,3,26,8.67,0,,0,0,0.0,0,0
8,8,2013-11-03,37-249,ATL,@,CAR,L 10-34,7,6,81,13.50,1,,1,6,0.0,0,0
9,9,2013-11-10,37-256,ATL,,SEA,L 10-33,5,3,29,9.67,0,,0,0,0.0,0,0
10,10,2013-11-17,37-263,ATL,@,TAM,L 28-41,9,7,63,9.00,0,1,0,2,0.0,0,0
11,11,2013-11-21,37-267,ATL,,NOR,L 13-17,6,4,43,10.75,0,,0,0,0.0,0,0
12,12,2013-12-01,37-277,ATL,@,BUF,W 34-31,7,4,42,10.50,1,,1,6,0.0,0,0
13,13,2013-12-08,37-284,ATL,@,GNB,L 21-22,6,3,25,8.33,1,,1,6,0.0,0,0
14,14,2013-12-15,37-291,ATL,,WAS,W 27-26,7,6,62,10.33,1,,1,6,0.0,1,0
15,15,2013-12-23,37-299,ATL,@,SFO,L 24-34,11,8,63,7.88,1,,1,6,0.0,0,0
16,16,2013-12-29,37-305,ATL,,CAR,L 20-21,4,4,56,14.00,0,,0,0,0.0,0,0
,,16 Games,,,,,4-12-0,121,83,859,10.35,8,1,8,50,0.0,1,0
