
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,30-048,ATL,@,NOR,L 17-23,11,77,7.00,0,8,5,45,9.00,0,0,0,0.0,0,0
2,2,2013-09-15,30-055,ATL,,STL,W 31-24,3,0,0.00,0,2,1,8,8.00,1,1,6,0.0,0,0
3,7,2013-10-27,30-097,ATL,@,ARI,L 13-27,11,6,0.55,0,5,3,7,2.33,0,0,0,0.0,1,0
4,8,2013-11-03,30-104,ATL,@,CAR,L 10-34,13,57,4.38,0,4,3,19,6.33,0,0,0,0.0,0,0
5,9,2013-11-10,30-111,ATL,,SEA,L 10-33,9,11,1.22,0,5,3,9,3.00,0,0,0,0.0,0,0
6,10,2013-11-17,30-118,ATL,@,TAM,L 28-41,11,41,3.73,0,2,2,24,12.00,0,0,0,0.0,0,0
7,11,2013-11-21,30-122,ATL,,NOR,L 13-17,16,63,3.94,1,4,3,16,5.33,0,1,6,0.0,0,0
8,12,2013-12-01,30-132,ATL,@,BUF,W 34-31,23,84,3.65,2,1,1,0,0.00,0,2,12,0.0,0,0
9,13,2013-12-08,30-139,ATL,@,GNB,L 21-22,16,72,4.50,0,3,1,9,9.00,0,0,0,0.0,0,0
10,14,2013-12-15,30-146,ATL,,WAS,W 27-26,15,38,2.53,2,6,4,5,1.25,0,2,12,0.0,0,0
11,15,2013-12-23,30-154,ATL,@,SFO,L 24-34,16,53,3.31,1,2,2,-4,-2.00,0,1,6,0.0,0,0
12,16,2013-12-29,30-160,ATL,,CAR,L 20-21,13,41,3.15,0,7,5,53,10.60,0,0,0,0.0,0,0
,,12 Games,,,,,3-9-0,157,543,3.46,6,49,33,191,5.79,1,7,42,0.0,1,0
