
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-07,31-047,ATL,,NOR,W 37-34,12,52,4.33,0,3,1,0,0.00,0,0,0
2,2,2014-09-14,31-054,ATL,@,CIN,L 10-24,11,46,4.18,0,1,1,7,7.00,0,0,0
3,3,2014-09-18,31-058,ATL,,TAM,W 56-14,14,54,3.86,1,0,0,0,,0,1,6
4,4,2014-09-28,31-068,ATL,@,MIN,L 28-41,13,49,3.77,0,2,2,13,6.50,0,0,0
5,5,2014-10-05,31-075,ATL,@,NYG,L 20-30,13,37,2.85,1,6,5,37,7.40,0,1,6
6,6,2014-10-12,31-082,ATL,,CHI,L 13-27,6,25,4.17,0,2,0,0,,0,0,0
7,7,2014-10-19,31-089,ATL,@,BAL,L 7-29,8,22,2.75,0,1,1,3,3.00,0,0,0
8,8,2014-10-26,31-096,ATL,,DET,L 21-22,18,60,3.33,1,0,0,0,,0,1,6
9,9,2014-11-09,31-110,ATL,@,TAM,W 27-17,16,81,5.06,1,2,2,14,7.00,0,1,6
10,10,2014-11-16,31-117,ATL,@,CAR,W 19-17,17,41,2.41,0,3,2,6,3.00,0,0,0
11,11,2014-11-23,31-124,ATL,,CLE,L 24-26,13,34,2.62,1,3,2,17,8.50,0,1,6
12,12,2014-11-30,31-131,ATL,,ARI,W 29-18,18,101,5.61,0,0,0,0,,0,0,0
13,13,2014-12-08,31-139,ATL,@,GNB,L 37-43,16,50,3.13,1,2,2,26,13.00,0,1,6
14,14,2014-12-14,31-145,ATL,,PIT,L 20-27,11,46,4.18,0,1,1,11,11.00,0,0,0
15,15,2014-12-21,31-152,ATL,@,NOR,W 30-14,4,9,2.25,0,1,1,14,14.00,0,0,0
,,15 Games,,,,,6-9-0,190,707,3.72,6,27,20,148,7.40,0,6,36
