
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,22-220,ATL,@,CHI,L 12-30,6,5,71,14.20,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,22-227,ATL,,PHI,W 35-31,8,2,29,14.50,0,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,22-234,ATL,@,TAM,L 13-16,7,6,115,19.17,0,1,-9,-9.00,0,0,0,0.0,0,0
4,4,2011-10-02,22-241,ATL,@,SEA,W 30-28,17,11,127,11.55,0,0,0,,0,0,0,0.0,0,0
5,5,2011-10-09,22-248,ATL,,GNB,L 14-25,4,1,16,16.00,0,1,17,17.00,0,0,0,0.0,0,0
6,8,2011-11-06,22-276,ATL,@,IND,W 31-7,4,3,131,43.67,2,2,33,16.50,0,2,12,0.0,0,0
7,9,2011-11-13,22-283,ATL,,NOR,L 23-26,5,2,9,4.50,0,0,0,,0,0,0,0.0,0,0
8,11,2011-11-27,22-297,ATL,,MIN,W 24-14,0,,,,,,,,,,,,,
9,12,2011-12-04,22-304,ATL,@,HOU,L 10-17,11,4,68,17.00,0,0,0,,0,0,0,0.0,1,0
10,13,2011-12-11,22-311,ATL,@,CAR,W 31-23,8,3,104,34.67,2,0,0,,0,2,12,0.0,0,0
11,14,2011-12-15,22-315,ATL,,JAX,W 41-14,6,5,85,17.00,1,1,6,6.00,0,1,6,0.0,0,0
12,15,2011-12-26,22-326,ATL,@,NOR,L 16-45,14,8,128,16.00,1,0,0,,0,1,6,0.0,0,0
13,16,2012-01-01,22-332,ATL,,TAM,W 45-24,5,4,76,19.00,2,1,9,9.00,0,2,12,0.0,0,0
,,13 Games,,,,,7-6-0,95,54,959,17.76,8,6,56,9.33,0,8,48,0.0,1,0
