
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,23-219,ATL,@,KAN,W 40-24,9,6,108,18.00,2,0,0,,0,2,12
2,2,2012-09-17,23-227,ATL,,DEN,W 27-21,7,4,14,3.50,0,1,1,1.00,0,0,0
3,3,2012-09-23,23-233,ATL,@,SDG,W 27-3,7,5,67,13.40,1,0,0,,0,1,6
4,4,2012-09-30,23-240,ATL,,CAR,W 30-28,8,1,30,30.00,0,0,0,,0,0,0
5,5,2012-10-07,23-247,ATL,@,WAS,W 24-17,15,10,94,9.40,1,1,1,1.00,0,1,6
6,6,2012-10-14,23-254,ATL,,OAK,W 23-20,8,4,63,15.75,0,0,0,,0,0,0
7,7,2012-10-28,23-268,ATL,@,PHI,W 30-17,5,5,123,24.60,1,1,9,9.00,0,1,6
8,8,2012-11-04,23-275,ATL,,DAL,W 19-13,6,5,129,25.80,0,1,8,8.00,0,0,0
9,9,2012-11-11,23-282,ATL,@,NOR,L 27-31,5,4,75,18.75,0,0,0,,0,0,0
10,10,2012-11-18,23-289,ATL,,ARI,W 23-19,7,3,33,11.00,0,0,0,,0,0,0
11,11,2012-11-25,23-296,ATL,@,TAM,W 24-23,9,6,147,24.50,1,0,0,,0,1,6
12,12,2012-11-29,23-300,ATL,,NOR,W 23-13,8,5,48,9.60,0,0,0,,0,0,0
13,13,2012-12-09,23-310,ATL,@,CAR,L 20-30,11,5,66,13.20,1,0,0,,0,1,6
14,14,2012-12-16,23-317,ATL,,NYG,W 34-0,6,6,74,12.33,2,1,18,18.00,0,2,12
15,15,2012-12-22,23-323,ATL,@,DET,W 31-18,11,7,71,10.14,1,1,-7,-7.00,0,1,6
16,16,2012-12-30,23-331,ATL,,TAM,L 17-22,6,3,56,18.67,0,0,0,,0,0,0
,,16 Games,,,,,13-3-0,128,79,1198,15.16,10,6,30,5.00,0,10,60
