
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,26-117,ATL,@,CHI,L 12-30,*,31,47,65.96,329,0,1,77.3,7.00,6.04,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,26-124,ATL,,PHI,W 35-31,*,17,28,60.71,195,4,2,91.5,6.96,6.61,4,6,1.50,0,0,0,0.0,0,0
3,3,2011-09-25,26-131,ATL,@,TAM,L 13-16,*,26,47,55.32,330,1,1,75.7,7.02,6.49,1,12,12.00,0,0,0,0.0,0,0
4,4,2011-10-02,26-138,ATL,@,SEA,W 30-28,*,28,42,66.67,291,1,0,94.4,6.93,7.40,4,26,6.50,0,0,0,0.0,0,0
5,5,2011-10-09,26-145,ATL,,GNB,L 14-25,*,18,32,56.25,167,1,2,55.1,5.22,3.03,3,9,3.00,0,0,0,0.0,0,0
6,6,2011-10-16,26-152,ATL,,CAR,W 31-17,*,14,22,63.64,163,1,0,101.1,7.41,8.32,3,7,2.33,1,1,6,0.0,0,0
7,7,2011-10-23,26-159,ATL,@,DET,W 23-16,*,20,34,58.82,218,1,2,63.1,6.41,4.35,3,2,0.67,1,1,6,0.0,0,0
8,8,2011-11-06,26-173,ATL,@,IND,W 31-7,*,14,24,58.33,275,3,1,120.7,11.46,12.08,2,0,0.00,0,0,0,0.0,0,0
9,9,2011-11-13,26-180,ATL,,NOR,L 23-26,*,29,52,55.77,351,2,1,81.5,6.75,6.65,1,9,9.00,0,0,0,0.0,0,0
10,10,2011-11-20,26-187,ATL,,TEN,W 23-17,*,22,32,68.75,316,1,0,110.9,9.88,10.50,6,3,0.50,0,0,0,0.0,1,0
11,11,2011-11-27,26-194,ATL,,MIN,W 24-14,*,27,34,79.41,262,3,0,128.2,7.71,9.47,4,3,0.75,0,0,0,0.0,0,0
12,12,2011-12-04,26-201,ATL,@,HOU,L 10-17,*,20,47,42.55,267,1,2,50.6,5.68,4.19,1,10,10.00,0,0,0,0.0,0,0
13,13,2011-12-11,26-208,ATL,@,CAR,W 31-23,*,22,38,57.89,320,4,0,120.5,8.42,10.53,3,0,0.00,0,0,0,0.0,0,0
14,14,2011-12-15,26-212,ATL,,JAX,W 41-14,*,19,26,73.08,224,3,0,137.3,8.62,10.92,0,0,,0,0,0,0.0,0,0
15,15,2011-12-26,26-223,ATL,@,NOR,L 16-45,*,34,52,65.38,373,1,0,92.9,7.17,7.56,2,-3,-1.50,0,0,0,0.0,0,0
16,16,2012-01-01,26-229,ATL,,TAM,W 45-24,*,6,9,66.67,106,2,0,146.3,11.78,16.22,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,10-6-0,,347,566,61.31,4187,29,12,92.2,7.40,7.47,37,84,2.27,2,2,12,0.0,1,0
