
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,27-115,ATL,@,KAN,W 40-24,*,23,31,74.19,299,3,0,136.4,9.65,11.58,3,25,8.33,1,1,6
2,2,2012-09-17,27-123,ATL,,DEN,W 27-21,*,24,36,66.67,219,2,0,101.5,6.08,7.19,6,19,3.17,0,0,0
3,3,2012-09-23,27-129,ATL,@,SDG,W 27-3,*,30,40,75.00,275,3,1,107.8,6.88,7.25,1,4,4.00,0,0,0
4,4,2012-09-30,27-136,ATL,,CAR,W 30-28,*,25,40,62.50,369,3,1,107.2,9.23,9.60,0,0,,0,0,0
5,5,2012-10-07,27-143,ATL,@,WAS,W 24-17,*,34,52,65.38,345,2,1,89.0,6.63,6.54,5,7,1.40,0,0,0
6,6,2012-10-14,27-150,ATL,,OAK,W 23-20,*,24,37,64.86,249,1,3,59.4,6.73,3.62,1,15,15.00,0,0,0
7,7,2012-10-28,27-164,ATL,@,PHI,W 30-17,*,22,29,75.86,262,3,0,137.4,9.03,11.10,3,18,6.00,0,0,0
8,8,2012-11-04,27-171,ATL,,DAL,W 19-13,*,24,34,70.59,342,0,0,102.8,10.06,10.06,1,8,8.00,0,0,0
9,9,2012-11-11,27-178,ATL,@,NOR,L 27-31,*,34,52,65.38,411,3,1,100.7,7.90,8.19,2,2,1.00,0,0,0
10,10,2012-11-18,27-185,ATL,,ARI,W 23-19,*,28,46,60.87,301,0,5,40.5,6.54,1.65,3,-3,-1.00,0,0,0
11,11,2012-11-25,27-192,ATL,@,TAM,W 24-23,*,26,32,81.25,353,1,1,110.0,11.03,10.25,1,13,13.00,0,0,0
12,12,2012-11-29,27-196,ATL,,NOR,W 23-13,*,18,33,54.55,165,1,0,78.5,5.00,5.61,3,-2,-0.67,0,0,0
13,13,2012-12-09,27-206,ATL,@,CAR,L 20-30,*,34,49,69.39,342,2,1,94.1,6.98,6.88,0,0,,0,0,0
14,14,2012-12-16,27-213,ATL,,NYG,W 34-0,*,23,28,82.14,270,3,0,142.6,9.64,11.79,1,-1,-1.00,0,0,0
15,15,2012-12-22,27-219,ATL,@,DET,W 31-18,*,25,32,78.13,279,4,0,142.6,8.72,11.22,2,25,12.50,0,0,0
16,16,2012-12-30,27-227,ATL,,TAM,L 17-22,*,28,44,63.64,238,1,0,85.2,5.41,5.86,2,11,5.50,0,0,0
,,16 Games,,,,,13-3-0,,422,615,68.62,4719,32,14,99.1,7.67,7.69,34,141,4.15,1,1,6
