
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2013-09-08,28-114,ATL,@,NOR,L 17-23,*,25,38,65.79,304,2,1,96.8,8.00,7.87,1,12,12.00,0
2,2,2013-09-15,28-121,ATL,,STL,W 31-24,*,33,43,76.74,374,2,0,117.8,8.70,9.63,0,0,,0
3,3,2013-09-22,28-128,ATL,@,MIA,L 23-27,*,23,38,60.53,231,2,1,84.4,6.08,5.95,0,0,,0
4,4,2013-09-29,28-135,ATL,,NWE,L 23-30,*,34,54,62.96,421,2,1,91.7,7.80,7.70,0,0,,0
5,5,2013-10-07,28-143,ATL,,NYJ,L 28-30,*,36,45,80.00,319,2,0,111.0,7.09,7.98,0,0,,0
6,6,2013-10-20,28-156,ATL,,TAM,W 31-23,*,20,26,76.92,273,3,0,148.4,10.50,12.81,3,-12,-4.00,0
7,7,2013-10-27,28-163,ATL,@,ARI,L 13-27,*,34,61,55.74,301,1,4,47.2,4.93,2.31,1,13,13.00,0
8,8,2013-11-03,28-170,ATL,@,CAR,L 10-34,*,20,27,74.07,219,1,3,70.4,8.11,3.85,2,2,1.00,0
9,9,2013-11-10,28-177,ATL,,SEA,L 10-33,*,23,36,63.89,172,1,0,84.5,4.78,5.33,3,15,5.00,0
10,10,2013-11-17,28-184,ATL,@,TAM,L 28-41,*,19,36,52.78,254,2,2,70.8,7.06,5.67,0,0,,0
11,11,2013-11-21,28-188,ATL,,NOR,L 13-17,*,30,39,76.92,292,0,0,97.4,7.49,7.49,2,10,5.00,0
12,12,2013-12-01,28-198,ATL,@,BUF,W 34-31,*,28,47,59.57,311,1,0,86.4,6.62,7.04,2,17,8.50,0
13,13,2013-12-08,28-205,ATL,@,GNB,L 21-22,*,20,35,57.14,206,2,1,81.4,5.89,5.74,0,0,,0
14,14,2013-12-15,28-212,ATL,,WAS,W 27-26,*,29,38,76.32,210,1,1,86.5,5.53,4.87,1,-1,-1.00,0
15,15,2013-12-23,28-220,ATL,@,SFO,L 24-34,*,37,48,77.08,348,2,2,93.1,7.25,6.21,0,0,,0
16,16,2013-12-29,28-226,ATL,,CAR,L 20-21,*,28,40,70.00,280,2,1,95.8,7.00,6.88,2,-1,-0.50,0
,,16 Games,,,,,4-12-0,,439,651,67.43,4515,26,17,89.6,6.94,6.56,17,55,3.24,0
