
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,30-209,ATL,@,KAN,W 40-24,11,32,2.91,0,0,0,0,,0,0,0
2,2,2012-09-17,30-217,ATL,,DEN,W 27-21,17,42,2.47,1,1,1,0,0.00,0,1,6
3,3,2012-09-23,30-223,ATL,@,SDG,W 27-3,14,80,5.71,1,2,2,1,0.50,0,1,6
4,4,2012-09-30,30-230,ATL,,CAR,W 30-28,13,103,7.92,0,5,3,68,22.67,1,1,6
5,5,2012-10-07,30-237,ATL,@,WAS,W 24-17,17,64,3.76,1,5,2,2,1.00,0,1,6
6,6,2012-10-14,30-244,ATL,,OAK,W 23-20,11,33,3.00,0,1,1,6,6.00,0,0,0
7,7,2012-10-28,30-258,ATL,@,PHI,W 30-17,24,58,2.42,0,2,1,6,6.00,0,0,0
8,8,2012-11-04,30-265,ATL,,DAL,W 19-13,20,102,5.10,1,1,0,0,,0,1,6
9,9,2012-11-11,30-272,ATL,@,NOR,L 27-31,13,15,1.15,0,1,0,0,,0,0,0
10,10,2012-11-18,30-279,ATL,,ARI,W 23-19,15,46,3.07,1,2,0,0,,0,1,6
11,11,2012-11-25,30-286,ATL,@,TAM,W 24-23,13,17,1.31,1,3,3,13,4.33,0,1,6
12,12,2012-11-29,30-290,ATL,,NOR,W 23-13,12,83,6.92,1,1,1,7,7.00,0,1,6
13,13,2012-12-09,30-300,ATL,@,CAR,L 20-30,7,14,2.00,1,0,0,0,,0,1,6
14,14,2012-12-16,30-307,ATL,,NYG,W 34-0,16,52,3.25,1,2,1,9,9.00,0,1,6
15,15,2012-12-22,30-313,ATL,@,DET,W 31-18,13,41,3.15,0,4,4,16,4.00,0,0,0
16,16,2012-12-30,30-321,ATL,,TAM,L 17-22,6,18,3.00,1,0,0,0,,0,1,6
,,16 Games,,,,,13-3-0,222,800,3.60,10,30,19,128,6.74,1,11,66
