
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,32-309,ATL,,NOR,W 37-34,7,5,72,14.40,1,1,6,0.0,0,0
2,2,2014-09-14,32-316,ATL,@,CIN,L 10-24,9,5,42,8.40,0,0,0,0.0,1,0
3,4,2014-09-28,32-330,ATL,@,MIN,L 28-41,14,4,73,18.25,1,1,6,0.0,0,0
4,5,2014-10-05,32-337,ATL,@,NYG,L 20-30,4,2,26,13.00,0,0,0,0.0,0,0
5,6,2014-10-12,32-344,ATL,,CHI,L 13-27,6,3,40,13.33,0,0,0,0.0,0,0
6,7,2014-10-19,32-351,ATL,@,BAL,L 7-29,15,9,100,11.11,1,1,6,0.0,0,0
7,8,2014-10-26,32-358,ATL,,DET,L 21-22,6,5,66,13.20,0,0,0,0.0,0,0
8,9,2014-11-09,33-007,ATL,@,TAM,W 27-17,6,6,72,12.00,1,1,6,0.0,0,0
9,10,2014-11-16,33-014,ATL,@,CAR,W 19-17,12,8,75,9.38,1,1,6,0.0,0,0
10,11,2014-11-23,33-021,ATL,,CLE,L 24-26,10,9,96,10.67,0,0,0,0.0,0,0
11,13,2014-12-08,33-036,ATL,@,GNB,L 37-43,5,3,42,14.00,1,1,6,0.0,0,0
12,14,2014-12-14,33-042,ATL,,PIT,L 20-27,10,7,58,8.29,1,1,6,0.0,0,0
13,15,2014-12-21,33-049,ATL,@,NOR,W 30-14,9,6,55,9.17,0,0,0,0.0,0,0
14,16,2014-12-28,33-056,ATL,,CAR,L 3-34,12,8,104,13.00,0,0,0,0.0,0,0
,,14 Games,,,,,4-10-0,125,80,921,11.51,7,7,42,0.0,1,0
