
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2011-09-11,26-050,BUF,@,KAN,W 41-7,5,5,63,12.60,2,2,12
2,2,2011-09-18,26-057,BUF,,OAK,W 38-35,4,2,16,8.00,1,1,6
3,3,2011-09-25,26-064,BUF,,NWE,W 34-31,3,2,10,5.00,1,1,6
4,4,2011-10-02,26-071,BUF,@,CIN,L 20-23,2,2,8,4.00,0,0,0
5,5,2011-10-09,26-078,BUF,,PHI,W 31-24,1,1,4,4.00,0,0,0
6,6,2011-10-16,26-085,BUF,@,NYG,L 24-27,1,1,-3,-3.00,0,0,0
7,7,2011-10-30,26-099,BUF,,WAS,W 23-0,2,2,35,17.50,2,2,12
8,8,2011-11-06,26-106,BUF,,NYJ,L 11-27,3,3,24,8.00,0,0,0
9,9,2011-11-13,26-113,BUF,@,DAL,L 7-44,3,3,34,11.33,0,0,0
10,10,2011-11-20,26-120,BUF,@,MIA,L 8-35,6,5,71,14.20,0,0,0
11,11,2011-11-27,26-127,BUF,@,NYJ,L 24-28,7,6,50,8.33,0,0,0
12,12,2011-12-04,26-134,BUF,,TEN,L 17-23,4,3,48,16.00,0,0,0
13,15,2011-12-24,26-154,BUF,,DEN,W 40-14,2,0,0,,0,0,0
14,16,2012-01-01,26-162,BUF,@,NWE,L 21-49,3,3,29,9.67,0,0,0
,,14 Games,,,,,6-8-0,46,38,389,10.24,6,6,36
