
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,30-203,BUF,@,KAN,W 41-7,20,112,5.60,0,1,1,5,5.00,0,0,0,0.0,0,0
2,2,2011-09-18,30-210,BUF,,OAK,W 38-35,15,117,7.80,2,2,2,23,11.50,0,2,12,0.0,0,0
3,3,2011-09-25,30-217,BUF,,NWE,W 34-31,12,74,6.17,1,6,5,87,17.40,0,1,6,0.0,0,0
4,4,2011-10-02,30-224,BUF,@,CIN,L 20-23,17,66,3.88,1,8,5,32,6.40,0,1,6,0.0,0,0
5,5,2011-10-09,30-231,BUF,,PHI,W 31-24,26,111,4.27,1,6,6,85,14.17,0,1,6,0.0,0,0
6,6,2011-10-16,30-238,BUF,@,NYG,L 24-27,16,121,7.56,1,6,5,47,9.40,0,1,6,0.0,0,0
7,7,2011-10-30,30-252,BUF,,WAS,W 23-0,26,120,4.62,0,4,3,74,24.67,0,0,0,0.0,0,0
8,8,2011-11-06,30-259,BUF,,NYJ,L 11-27,18,82,4.56,0,8,3,38,12.67,0,0,0,0.0,1,0
9,9,2011-11-13,30-266,BUF,@,DAL,L 7-44,13,114,8.77,0,4,4,1,0.25,0,0,0,0.0,0,0
10,10,2011-11-20,30-273,BUF,@,MIA,L 8-35,7,17,2.43,0,5,5,50,10.00,0,0,0,0.0,1,0
,,10 Games,,,,,5-5-0,170,934,5.49,6,50,39,442,11.33,0,6,36,0.0,2,0
