
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Ret,Yds,Y/R,TD,2PM,TD,Pts
1,1,2014-09-07,33-199,BUF,@,CHI,W 23-20,7,61,8.71,0,3,3,13,4.33,0,0,0,,0,0,0,,,,1,0,0.00,0,,0,0
2,2,2014-09-14,33-206,BUF,,MIA,W 29-10,12,24,2.00,0,4,2,27,13.50,0,0,0,,0,0,0,,,,0,0,,0,,0,0
3,3,2014-09-21,33-213,BUF,,SDG,L 10-22,6,34,5.67,0,10,8,78,9.75,1,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,1,6
4,4,2014-09-28,33-220,BUF,@,HOU,L 17-23,7,33,4.71,0,7,6,52,8.67,0,0,0,,0,0,0,,,,0,0,,0,,0,0
5,5,2014-10-05,33-227,BUF,@,DET,W 17-14,10,49,4.90,0,9,7,58,8.29,0,0,0,,0,0,0,,,,0,0,,0,1,0,2
6,6,2014-10-12,33-234,BUF,,NWE,L 22-37,10,26,2.60,1,6,4,17,4.25,0,0,0,,0,0,0,,,,0,0,,0,,1,6
7,7,2014-10-19,33-241,BUF,,MIN,W 17-16,3,12,4.00,0,3,3,16,5.33,0,0,0,,0,0,0,,,,0,0,,0,,0,0
8,9,2014-11-09,33-262,BUF,,KAN,L 13-17,3,10,3.33,0,5,4,39,9.75,0,0,0,,0,0,0,,,,0,0,,0,,0,0
9,11,2014-11-24,33-277,BUF,,NYJ,W 38-3,10,32,3.20,1,4,3,13,4.33,0,0,0,,0,0,0,,,,1,5,5.00,0,,1,6
10,12,2014-11-30,33-283,BUF,,CLE,W 26-10,21,70,3.33,0,4,3,27,9.00,0,0,0,,0,0,0,,,,1,0,0.00,0,,0,0
11,13,2014-12-07,33-290,BUF,@,DEN,L 17-24,8,35,4.38,0,14,10,37,3.70,0,0,0,,0,0,0,,,,0,0,,0,,0,0
12,14,2014-12-14,33-297,BUF,,GNB,W 21-13,20,71,3.55,0,6,3,27,9.00,0,0,0,,0,0,0,,,,0,0,,0,,0,0
13,15,2014-12-21,33-304,BUF,@,OAK,L 24-26,6,10,1.67,0,12,9,93,10.33,0,0,0,,0,0,0,,,,0,0,,0,,0,0
14,16,2014-12-28,33-311,BUF,@,NWE,W 17-9,18,58,3.22,0,3,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,,0,0
,,14 Games,,,,,8-6-0,141,525,3.72,2,90,66,501,7.59,1,0,1,0.00,0,0,0,39.6,0.00,0.00,3,5,1.67,0,1,3,20
