
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,26-284,BUF,,NWE,L 21-23,6,3,39,13.00,1,0,0,,0,,1,6,0.0,0,0
2,2,2013-09-15,26-291,BUF,,CAR,W 24-23,10,8,111,13.88,1,0,0,,0,,1,6,0.0,0,0
3,3,2013-09-22,26-298,BUF,@,NYJ,L 20-27,13,6,86,14.33,0,0,0,,0,1,0,2,0.0,0,0
4,4,2013-09-29,26-305,BUF,,BAL,W 23-20,6,1,-1,-1.00,0,0,0,,0,,0,0,0.0,0,0
5,5,2013-10-03,26-309,BUF,@,CLE,L 24-37,3,2,19,9.50,0,0,0,,0,,0,0,0.0,0,0
6,7,2013-10-20,26-326,BUF,@,MIA,W 23-21,13,6,61,10.17,0,0,0,,0,,0,0,0.0,1,0
7,8,2013-10-27,26-333,BUF,@,NOR,L 17-35,11,7,72,10.29,1,0,0,,0,,1,6,0.0,0,0
8,9,2013-11-03,26-340,BUF,,KAN,L 13-23,7,5,36,7.20,0,1,10,10.00,0,,0,0,0.0,1,0
9,10,2013-11-10,26-347,BUF,@,PIT,L 10-23,10,3,48,16.00,0,0,0,,0,,0,0,0.0,0,0
10,12,2013-12-01,27-003,BUF,,ATL,L 31-34,8,5,55,11.00,0,0,0,,0,,0,0,0.0,0,0
11,13,2013-12-08,27-010,BUF,@,TAM,L 6-27,11,5,67,13.40,0,0,0,,0,,0,0,0.0,0,0
12,14,2013-12-15,27-017,BUF,@,JAX,W 27-20,3,1,4,4.00,0,0,0,,0,,0,0,0.0,0,0
,,12 Games,,,,,4-8-0,101,52,597,11.48,3,1,10,10.00,0,1,3,20,0.0,2,0
