
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,25-035,BUF,@,NYJ,L 28-48,14,169,12.07,1,3,2,25,12.50,0,1,6
2,2,2012-09-16,25-042,BUF,,KAN,W 35-17,15,123,8.20,2,3,3,47,15.67,0,2,12
3,3,2012-09-23,25-049,BUF,@,CLE,W 24-14,4,16,4.00,0,2,2,42,21.00,1,1,6
4,4,2012-09-30,25-056,BUF,,NWE,L 28-52,8,33,4.13,0,2,2,5,2.50,0,0,0
5,5,2012-10-07,25-063,BUF,@,SFO,L 3-45,7,24,3.43,0,1,0,0,,0,0,0
6,6,2012-10-14,25-070,BUF,@,ARI,W 19-16,12,88,7.33,1,5,4,22,5.50,0,1,6
7,7,2012-10-21,25-077,BUF,,TEN,L 34-35,12,70,5.83,0,6,6,32,5.33,0,0,0
8,8,2012-11-04,25-091,BUF,@,HOU,L 9-21,6,39,6.50,0,5,5,63,12.60,0,0,0
9,9,2012-11-11,25-098,BUF,@,NWE,L 31-37,9,70,7.78,0,4,4,61,15.25,0,0,0
10,10,2012-11-15,25-102,BUF,,MIA,W 19-14,22,91,4.14,0,4,3,39,13.00,0,0,0
11,11,2012-11-25,25-112,BUF,@,IND,L 13-20,14,107,7.64,0,3,1,-4,-4.00,0,0,0
12,12,2012-12-02,25-119,BUF,,JAX,W 34-18,14,77,5.50,1,1,1,7,7.00,0,1,6
13,13,2012-12-09,25-126,BUF,,STL,L 12-15,7,37,5.29,0,1,1,15,15.00,0,0,0
14,14,2012-12-16,25-133,BUF,,SEA,L 17-50,17,103,6.06,1,5,3,-2,-0.67,0,1,6
15,15,2012-12-23,25-140,BUF,@,MIA,L 10-24,22,138,6.27,0,5,4,35,8.75,0,0,0
16,16,2012-12-30,25-147,BUF,,NYJ,W 28-9,24,59,2.46,0,7,2,72,36.00,1,1,6
,,16 Games,,,,,6-10-0,207,1244,6.01,6,57,43,459,10.67,2,8,48
