
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,23-121,CAR,@,TAM,L 10-16,*,23,33,69.70,303,1,2,83.3,9.18,7.06,5,4,0.80,0,0,0,0,,0,0,0
2,2,2012-09-16,23-128,CAR,,NOR,W 35-27,*,14,20,70.00,253,1,0,129.2,12.65,13.65,13,71,5.46,1,0,0,0,,0,1,6
3,3,2012-09-20,23-132,CAR,,NYG,L 7-36,*,16,30,53.33,242,0,3,40.6,8.07,3.57,6,6,1.00,1,0,0,0,,0,1,6
4,4,2012-09-30,23-142,CAR,@,ATL,L 28-30,*,15,24,62.50,215,2,0,119.3,8.96,10.63,9,86,9.56,1,0,0,0,,0,1,6
5,5,2012-10-07,23-149,CAR,,SEA,L 12-16,*,12,29,41.38,141,0,0,56.8,4.86,4.86,7,42,6.00,0,0,0,0,,0,0,0
6,6,2012-10-21,23-163,CAR,,DAL,L 14-19,*,21,37,56.76,233,1,1,73.4,6.30,5.62,6,64,10.67,0,1,0,6,,0,0,0
7,7,2012-10-28,23-170,CAR,@,CHI,L 22-23,*,20,39,51.28,314,0,2,57.0,8.05,5.74,5,37,7.40,0,0,0,0,,0,0,0
8,8,2012-11-04,23-177,CAR,@,WAS,W 21-13,*,13,23,56.52,201,1,0,100.1,8.74,9.61,8,37,4.63,1,0,0,0,,0,1,6
9,9,2012-11-11,23-184,CAR,,DEN,L 14-36,*,21,36,58.33,241,2,2,74.0,6.69,5.31,4,7,1.75,0,0,0,0,,0,0,0
10,10,2012-11-18,23-191,CAR,,TAM,L 21-27,*,16,29,55.17,252,1,0,95.8,8.69,9.38,11,40,3.64,0,0,0,0,,0,0,0
11,11,2012-11-26,23-199,CAR,@,PHI,W 30-22,*,18,28,64.29,306,2,0,125.0,10.93,12.36,14,52,3.71,2,0,0,0,,0,2,12
12,12,2012-12-02,23-205,CAR,@,KAN,L 21-27,*,15,27,55.56,232,3,0,121.2,8.59,10.81,7,78,11.14,0,0,0,0,,0,0,0
13,13,2012-12-09,23-212,CAR,,ATL,W 30-20,*,23,35,65.71,287,2,0,110.1,8.20,9.34,9,116,12.89,1,0,0,0,,0,1,6
14,14,2012-12-16,23-219,CAR,@,SDG,W 31-7,*,19,33,57.58,231,2,0,99.4,7.00,8.21,4,7,1.75,0,0,0,0,,0,0,0
15,15,2012-12-23,23-226,CAR,,OAK,W 17-6,*,18,29,62.07,170,1,1,75.4,5.86,5.00,12,60,5.00,1,0,0,0,,0,1,6
16,16,2012-12-30,23-233,CAR,@,NOR,W 44-38,*,16,33,48.48,248,0,1,61.2,7.52,6.15,7,34,4.86,0,0,0,0,,0,0,0
,,16 Games,,,,,7-9-0,,280,485,57.73,3869,19,12,86.2,7.98,7.65,127,741,5.83,8,1,0,6,,0,8,48
