
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2,2014-09-14,25-126,CAR,,DET,W 24-7,*,22,34,64.71,281,1,0,100.2,8.26,8.85,4,19,4.75,0,0,0,0.0,0,0
2,3,2014-09-21,25-133,CAR,,PIT,L 19-37,*,24,35,68.57,250,1,0,98.5,7.14,7.71,2,7,3.50,0,0,0,0.0,0,0
3,4,2014-09-28,25-140,CAR,@,BAL,L 10-38,*,14,25,56.00,197,1,0,94.9,7.88,8.68,2,7,3.50,0,0,0,0.0,0,0
4,5,2014-10-05,25-147,CAR,,CHI,W 31-24,*,19,35,54.29,255,2,1,84.8,7.29,7.14,6,9,1.50,0,0,0,0.0,0,0
5,6,2014-10-12,25-154,CAR,@,CIN,T 37-37,*,29,46,63.04,284,2,1,85.8,6.17,6.07,17,107,6.29,1,1,6,0.0,0,0
6,7,2014-10-19,25-161,CAR,@,GNB,L 17-38,*,17,31,54.84,205,1,1,72.6,6.61,5.81,7,41,5.86,0,0,0,0.0,0,0
7,8,2014-10-26,25-168,CAR,,SEA,L 9-13,*,12,22,54.55,171,0,1,61.0,7.77,5.73,12,24,2.00,0,0,0,0.0,1,0
8,9,2014-10-30,25-172,CAR,,NOR,L 10-28,*,10,28,35.71,151,0,1,39.4,5.39,3.79,7,43,6.14,1,1,6,0.0,1,0
9,10,2014-11-10,25-183,CAR,@,PHI,L 21-45,*,25,40,62.50,306,2,3,71.5,7.65,5.28,2,6,3.00,0,0,0,0.0,0,0
10,11,2014-11-16,25-189,CAR,,ATL,L 17-19,*,23,37,62.16,292,2,2,82.3,7.89,6.54,5,30,6.00,0,0,0,0.0,0,0
11,12,2014-11-30,25-203,CAR,@,MIN,L 13-31,*,18,35,51.43,194,1,1,65.7,5.54,4.83,9,49,5.44,0,0,0,0.0,0,0
12,13,2014-12-07,25-210,CAR,@,NOR,W 41-10,*,21,33,63.64,226,3,0,114.0,6.85,8.67,12,83,6.92,1,1,6,0.0,0,0
13,15,2014-12-21,25-224,CAR,,CLE,W 17-13,*,18,31,58.06,201,1,1,74.8,6.48,5.68,12,63,5.25,1,1,6,0.0,0,0
14,16,2014-12-28,25-231,CAR,@,ATL,W 34-3,*,10,16,62.50,114,1,0,104.7,7.13,8.38,6,51,8.50,1,1,6,0.0,0,0
,,14 Games,,,,,5-8-1,,262,448,58.48,3127,18,12,82.1,6.98,6.58,103,539,5.23,5,5,30,0.0,2,0
