
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2013-09-08,28-181,CAR,,SEA,L 7-12,10,5,56,11.20,0,0,0
2,2,2013-09-15,28-188,CAR,@,BUF,L 23-24,8,7,84,12.00,1,1,6
3,3,2013-09-22,28-195,CAR,,NYG,W 38-0,8,4,54,13.50,0,0,0
4,4,2013-10-06,28-209,CAR,@,ARI,L 6-22,6,5,79,15.80,0,0,0
5,5,2013-10-13,28-216,CAR,@,MIN,W 35-10,4,2,19,9.50,0,0,0
6,6,2013-10-20,28-223,CAR,,STL,W 30-15,4,4,47,11.75,0,0,0
7,7,2013-10-24,28-227,CAR,@,TAM,W 31-13,4,3,21,7.00,1,1,6
8,8,2013-11-03,28-237,CAR,,ATL,W 34-10,5,4,66,16.50,1,1,6
9,9,2013-11-10,28-244,CAR,@,SFO,W 10-9,3,1,14,14.00,0,0,0
10,10,2013-11-18,28-252,CAR,,NWE,W 24-20,8,5,52,10.40,1,1,6
11,11,2013-11-24,28-258,CAR,@,MIA,W 20-16,9,5,34,6.80,1,1,6
12,12,2013-12-01,28-265,CAR,,TAM,W 27-6,7,5,85,17.00,0,0,0
13,13,2013-12-08,28-272,CAR,@,NOR,L 13-31,12,8,40,5.00,0,0,0
14,14,2013-12-15,28-279,CAR,,NYJ,W 30-20,8,5,88,17.60,0,0,0
15,15,2013-12-22,28-286,CAR,,NOR,W 17-13,7,4,35,8.75,0,0,0
16,16,2013-12-29,28-293,CAR,@,ATL,W 21-20,8,6,42,7.00,1,1,6
,,16 Games,,,,,12-4-0,111,73,816,11.18,6,6,36
