
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,29-180,CAR,@,TAM,W 20-14,11,8,83,10.38,1,1,6,0.0,0,0
2,2,2014-09-14,29-187,CAR,,DET,W 24-7,8,6,72,12.00,0,0,0,0.0,0,0
3,3,2014-09-21,29-194,CAR,,PIT,L 19-37,7,5,69,13.80,1,1,6,0.0,0,0
4,4,2014-09-28,29-201,CAR,@,BAL,L 10-38,5,2,30,15.00,0,0,0,0.0,0,0
5,5,2014-10-05,29-208,CAR,,CHI,W 31-24,9,6,72,12.00,2,2,12,0.0,0,0
6,6,2014-10-12,29-215,CAR,@,CIN,T 37-37,11,6,62,10.33,1,1,6,0.0,0,0
7,7,2014-10-19,29-222,CAR,@,GNB,L 17-38,8,8,105,13.13,0,0,0,0.0,0,0
8,8,2014-10-26,29-229,CAR,,SEA,L 9-13,3,1,16,16.00,0,0,0,0.0,0,0
9,9,2014-10-30,29-233,CAR,,NOR,L 10-28,4,3,30,10.00,0,0,0,0.0,1,0
10,10,2014-11-10,29-244,CAR,@,PHI,L 21-45,7,6,119,19.83,0,0,0,0.0,0,0
11,11,2014-11-16,29-250,CAR,,ATL,L 17-19,11,5,61,12.20,0,0,0,0.0,0,0
12,12,2014-11-30,29-264,CAR,@,MIN,L 13-31,9,5,59,11.80,0,0,0,0.0,0,0
13,13,2014-12-07,29-271,CAR,@,NOR,W 41-10,11,10,72,7.20,1,1,6,0.0,0,0
14,14,2014-12-14,29-278,CAR,,TAM,W 19-17,13,10,110,11.00,0,0,0,0.0,0,0
15,15,2014-12-21,29-285,CAR,,CLE,W 17-13,3,1,21,21.00,0,0,0,0.0,0,0
16,16,2014-12-28,29-292,CAR,@,ATL,W 34-3,3,2,27,13.50,0,0,0,0.0,0,0
,,16 Games,,,,,7-8-1,123,84,1008,12.00,6,6,36,0.0,1,0
