
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1,2012-09-09,26-291,CAR,@,TAM,L 10-16,1,2,2.00,0,3,3,8,2.67,0,0,0,,0,0,0
2,2,2012-09-16,26-298,CAR,,NOR,W 35-27,2,3,1.50,1,2,2,23,11.50,0,0,0,,0,1,6
3,3,2012-09-20,26-302,CAR,,NYG,L 7-36,3,4,1.33,0,5,4,47,11.75,0,0,0,,0,0,0
4,4,2012-09-30,26-312,CAR,@,ATL,L 28-30,4,14,3.50,0,3,1,8,8.00,0,0,0,,0,0,0
5,5,2012-10-07,26-319,CAR,,SEA,L 12-16,1,3,3.00,0,1,0,0,,0,0,0,,0,0,0
6,6,2012-10-21,26-333,CAR,,DAL,L 14-19,3,9,3.00,1,1,0,0,,0,0,0,,0,1,6
7,7,2012-10-28,26-340,CAR,@,CHI,L 22-23,3,7,2.33,0,1,1,15,15.00,0,0,0,,0,0,0
8,8,2012-11-04,26-347,CAR,@,WAS,W 21-13,3,4,1.33,0,1,1,7,7.00,0,0,0,,0,0,0
9,9,2012-11-11,26-354,CAR,,DEN,L 14-36,2,6,3.00,0,2,2,34,17.00,0,0,0,,0,0,0
10,10,2012-11-18,26-361,CAR,,TAM,L 21-27,0,0,,0,2,2,14,7.00,0,0,0,,0,0,0
11,11,2012-11-26,27-003,CAR,@,PHI,W 30-22,1,3,3.00,0,2,2,24,12.00,0,0,0,,0,0,0
12,12,2012-12-02,27-009,CAR,@,KAN,L 21-27,2,15,7.50,0,4,3,24,8.00,0,0,0,,0,0,0
13,13,2012-12-09,27-016,CAR,,ATL,W 30-20,5,20,4.00,0,3,3,18,6.00,0,0,0,,0,0,0
14,14,2012-12-16,27-023,CAR,@,SDG,W 31-7,9,40,4.44,2,4,2,24,12.00,0,1,26,26.00,0,2,12
15,15,2012-12-23,27-030,CAR,,OAK,W 17-6,5,28,5.60,0,2,0,0,,0,0,0,,0,0,0
16,16,2012-12-30,27-037,CAR,@,NOR,W 44-38,10,25,2.50,3,3,1,22,22.00,0,0,0,,0,3,18
,,16 Games,,,,,7-9-0,54,183,3.39,7,39,27,268,9.93,0,1,26,26.00,0,7,42
