
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,27-289,CAR,,SEA,L 7-12,4,10,2.50,0,1,1,-6,-6.00,0,0,0,0.0,0,0
2,2,2013-09-15,27-296,CAR,@,BUF,L 23-24,6,25,4.17,0,3,2,18,9.00,0,0,0,0.0,1,0
3,3,2013-09-22,27-303,CAR,,NYG,W 38-0,9,18,2.00,1,0,0,0,,0,1,6,0.0,0,0
4,4,2013-10-06,27-317,CAR,@,ARI,L 6-22,4,31,7.75,0,1,1,9,9.00,0,0,0,0.0,0,0
5,5,2013-10-13,27-324,CAR,@,MIN,W 35-10,8,27,3.38,1,3,2,20,10.00,1,2,12,0.0,0,0
6,6,2013-10-20,27-331,CAR,,STL,W 30-15,13,36,2.77,1,0,0,0,,0,1,6,0.0,0,0
7,7,2013-10-24,27-335,CAR,@,TAM,W 31-13,7,35,5.00,0,4,4,29,7.25,1,1,6,0.0,0,0
8,8,2013-11-03,27-345,CAR,,ATL,W 34-10,6,24,4.00,1,4,3,13,4.33,0,1,6,0.0,0,0
9,9,2013-11-10,27-352,CAR,@,SFO,W 10-9,2,7,3.50,0,3,2,16,8.00,0,0,0,0.0,0,0
10,10,2013-11-18,27-360,CAR,,NWE,W 24-20,6,17,2.83,0,0,0,0,,0,0,0,0.0,0,0
11,11,2013-11-24,28-001,CAR,@,MIA,W 20-16,4,23,5.75,0,1,1,5,5.00,0,0,0,0.0,1,0
12,12,2013-12-01,28-008,CAR,,TAM,W 27-6,9,48,5.33,0,4,3,41,13.67,0,0,0,0.0,1,0
13,13,2013-12-08,28-015,CAR,@,NOR,L 13-31,3,12,4.00,0,2,2,17,8.50,0,0,0,0.0,0,0
14,14,2013-12-15,28-022,CAR,,NYJ,W 30-20,12,18,1.50,1,2,1,7,7.00,0,1,6,0.0,0,0
15,15,2013-12-22,28-029,CAR,,NOR,W 17-13,1,1,1.00,0,2,2,5,2.50,0,0,0,0.0,0,0
16,16,2013-12-29,28-036,CAR,@,ATL,W 21-20,7,29,4.14,0,3,3,10,3.33,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,101,361,3.57,5,33,27,184,6.81,2,7,42,0.0,3,0
