
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,28-085,CHI,,IND,W 41-21,12,42,3.50,2,0,0,0,,0,2,12
2,2,2012-09-13,28-089,CHI,@,GNB,L 10-23,14,54,3.86,0,0,0,0,,0,0,0
3,3,2012-09-23,28-099,CHI,,STL,W 23-6,18,55,3.06,1,2,2,18,9.00,0,1,6
4,4,2012-10-01,28-107,CHI,@,DAL,W 34-18,10,29,2.90,0,1,1,8,8.00,0,0,0
5,5,2012-10-07,28-113,CHI,@,JAX,W 41-3,4,26,6.50,0,3,2,26,13.00,0,0,0
6,6,2012-10-22,28-128,CHI,,DET,W 13-7,6,36,6.00,0,1,1,-3,-3.00,0,0,0
7,7,2012-10-28,28-134,CHI,,CAR,W 23-22,3,5,1.67,0,0,0,0,,0,0,0
8,8,2012-11-04,28-141,CHI,@,TEN,W 51-20,10,16,1.60,0,1,1,17,17.00,0,0,0
9,9,2012-11-11,28-148,CHI,,HOU,L 6-13,3,34,11.33,0,0,0,0,,0,0,0
10,10,2012-11-19,28-156,CHI,@,SFO,L 7-32,5,9,1.80,0,1,1,18,18.00,0,0,0
11,11,2012-11-25,28-162,CHI,,MIN,W 28-10,21,60,2.86,2,1,1,-1,-1.00,0,2,12
12,12,2012-12-02,28-169,CHI,,SEA,L 17-23,7,39,5.57,0,1,0,0,,0,0,0
13,13,2012-12-09,28-176,CHI,@,MIN,L 14-21,1,6,6.00,0,0,0,0,,0,0,0
,,13 Games,,,,,8-5-0,114,411,3.61,5,11,9,83,9.22,0,5,30
