
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2012-09-09,29-133,CHI,,IND,W 41-21,*,21,35,60.00,333,2,1,98.9,9.51,9.37,4,-4,-1.00,0
2,2,2012-09-13,29-137,CHI,@,GNB,L 10-23,*,11,27,40.74,126,1,4,28.2,4.67,-1.26,1,12,12.00,0
3,3,2012-09-23,29-147,CHI,,STL,W 23-6,*,17,31,54.84,183,0,1,58.9,5.90,4.45,4,18,4.50,0
4,4,2012-10-01,29-155,CHI,@,DAL,W 34-18,*,18,24,75.00,275,2,0,140.1,11.46,13.13,3,0,0.00,0
5,5,2012-10-07,29-161,CHI,@,JAX,W 41-3,*,23,39,58.97,292,2,1,88.8,7.49,7.36,2,22,11.00,0
6,6,2012-10-22,29-176,CHI,,DET,W 13-7,*,16,31,51.61,150,1,0,76.0,4.84,5.48,3,34,11.33,0
7,7,2012-10-28,29-182,CHI,,CAR,W 23-22,*,19,28,67.86,186,1,1,83.3,6.64,5.75,1,4,4.00,0
8,8,2012-11-04,29-189,CHI,@,TEN,W 51-20,*,19,26,73.08,229,3,0,138.1,8.81,11.12,1,12,12.00,0
9,9,2012-11-11,29-196,CHI,,HOU,L 6-13,*,7,14,50.00,40,0,2,16.7,2.86,-3.57,3,37,12.33,0
10,11,2012-11-25,29-210,CHI,,MIN,W 28-10,*,23,31,74.19,188,1,1,86.5,6.06,5.26,3,9,3.00,0
11,12,2012-12-02,29-217,CHI,,SEA,L 17-23,*,17,26,65.38,233,2,0,119.6,8.96,10.50,5,27,5.40,0
12,13,2012-12-09,29-224,CHI,@,MIN,L 14-21,*,22,44,50.00,260,1,2,57.0,5.91,4.32,2,16,8.00,0
13,14,2012-12-16,29-231,CHI,,GNB,L 13-21,*,12,21,57.14,135,1,1,72.5,6.43,5.24,1,9,9.00,0
14,15,2012-12-23,29-238,CHI,@,ARI,W 28-13,*,12,26,46.15,146,1,0,76.8,5.62,6.38,3,8,2.67,0
15,16,2012-12-30,29-245,CHI,@,DET,W 26-24,*,18,31,58.06,257,1,0,95.8,8.29,8.94,5,29,5.80,0
,,15 Games,,,,,10-5-0,,255,434,58.76,3033,19,14,81.3,6.99,6.41,41,233,5.68,0
