
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,31-131,CHI,,BUF,L 20-23,*,34,49,69.39,349,2,2,86.2,7.12,6.10,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,31-138,CHI,@,SFO,W 28-20,*,23,34,67.65,176,4,0,119.2,5.18,7.53,5,25,5.00,0,0,0,0.0,0,0
3,3,2014-09-22,31-146,CHI,@,NYJ,W 27-19,*,23,38,60.53,225,2,0,94.7,5.92,6.97,5,14,2.80,0,0,0,0.0,0,0
4,4,2014-09-28,31-152,CHI,,GNB,L 17-38,*,22,34,64.71,256,2,2,82.5,7.53,6.06,3,29,9.67,0,0,0,0.0,1,0
5,5,2014-10-05,31-159,CHI,@,CAR,L 24-31,*,28,36,77.78,289,2,2,95.5,8.03,6.64,3,22,7.33,1,1,6,0.0,0,0
6,6,2014-10-12,31-166,CHI,@,ATL,W 27-13,*,26,38,68.42,381,1,0,109.6,10.03,10.55,6,4,0.67,0,0,0,0.0,0,0
7,7,2014-10-19,31-173,CHI,,MIA,L 14-27,*,21,34,61.76,190,1,1,74.4,5.59,4.85,2,3,1.50,0,0,0,0.0,0,0
8,8,2014-10-26,31-180,CHI,@,NWE,L 23-51,*,20,30,66.67,227,3,1,108.6,7.57,8.07,1,6,6.00,0,0,0,0.0,0,0
9,9,2014-11-09,31-194,CHI,@,GNB,L 14-55,*,22,37,59.46,272,1,2,68.7,7.35,5.46,2,0,0.00,0,0,0,0.0,0,0
10,10,2014-11-16,31-201,CHI,,MIN,W 21-13,*,31,43,72.09,330,3,2,98.0,7.67,6.98,5,21,4.20,0,0,0,0.0,0,0
11,11,2014-11-23,31-208,CHI,,TAM,W 21-13,*,17,27,62.96,130,1,0,87.0,4.81,5.56,0,0,,0,0,0,0.0,0,0
12,12,2014-11-27,31-212,CHI,@,DET,L 17-34,*,31,48,64.58,280,2,2,76.7,5.83,4.79,1,-1,-1.00,0,0,0,0.0,0,0
13,13,2014-12-04,31-219,CHI,,DAL,L 28-41,*,32,46,69.57,341,2,1,96.4,7.41,7.30,2,9,4.50,1,1,6,0.0,0,0
14,14,2014-12-15,31-230,CHI,,NOR,L 15-31,*,17,31,54.84,194,2,3,55.8,6.26,3.19,1,20,20.00,0,0,0,0.0,0,0
15,16,2014-12-28,31-243,CHI,@,MIN,L 9-13,*,23,36,63.89,172,0,0,75.2,4.78,4.78,3,39,13.00,0,0,0,0.0,0,0
,,15 Games,,,,,5-10-0,,370,561,65.95,3812,28,18,88.6,6.80,6.35,39,191,4.90,2,2,12,0.0,1,0
