
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,25-275,CHI,,ATL,W 30-12,16,68,4.25,0,6,5,90,18.00,1,0,0,,0,0,0,,,,1,6,0.0,0,0
2,2,2011-09-18,25-282,CHI,@,NOR,L 13-30,10,49,4.90,0,14,10,117,11.70,0,0,0,,0,0,0,,,,0,0,0.0,0,0
3,3,2011-09-25,25-289,CHI,,GNB,L 17-27,9,2,0.22,0,8,7,80,11.43,0,0,0,,0,0,0,,,,0,0,0.0,0,0
4,4,2011-10-02,25-296,CHI,,CAR,W 34-29,25,205,8.20,1,5,4,23,5.75,0,0,0,,0,0,0,,,,1,6,0.0,0,0
5,5,2011-10-10,25-304,CHI,@,DET,L 13-24,22,116,5.27,0,7,4,35,8.75,0,0,0,,0,0,0,,,,0,0,0.0,0,0
6,6,2011-10-16,25-310,CHI,,MIN,W 39-10,17,87,5.12,0,7,6,36,6.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
7,7,2011-10-23,25-317,CHI,@,TAM,W 24-18,25,145,5.80,1,4,2,38,19.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
8,8,2011-11-07,25-332,CHI,@,PHI,W 30-24,24,133,5.54,0,5,3,17,5.67,0,0,0,,0,0,0,,,,0,0,0.0,1,0
9,9,2011-11-13,25-338,CHI,,DET,W 37-13,18,64,3.56,1,5,1,3,3.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,6,0.0,0,0
10,10,2011-11-20,25-345,CHI,,SDG,W 31-20,20,57,2.85,0,5,4,26,6.50,0,0,0,,0,0,0,,,,0,0,0.0,1,0
11,11,2011-11-27,25-352,CHI,@,OAK,L 20-25,12,59,4.92,0,10,6,25,4.17,0,0,0,,0,0,0,,,,0,0,0.0,1,0
12,12,2011-12-04,25-359,CHI,,KAN,L 3-10,5,12,2.40,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
,,12 Games,,,,,7-5-0,203,997,4.91,3,76,52,490,9.42,1,0,1,0.00,0,0,0,39.6,0.00,0.00,4,24,0.0,3,0
