
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,26-274,CHI,,IND,W 41-21,16,80,5.00,1,6,3,40,13.33,0,1,6
2,2,2012-09-13,26-278,CHI,@,GNB,L 10-23,7,31,4.43,0,5,4,49,12.25,0,0,0
3,4,2012-10-01,26-296,CHI,@,DAL,W 34-18,13,52,4.00,0,1,1,-3,-3.00,0,0,0
4,5,2012-10-07,26-302,CHI,@,JAX,W 41-3,22,107,4.86,0,4,2,20,10.00,0,0,0
5,6,2012-10-22,26-317,CHI,,DET,W 13-7,22,96,4.36,0,5,3,4,1.33,0,0,0
6,7,2012-10-28,26-323,CHI,,CAR,W 23-22,15,70,4.67,1,5,5,24,4.80,0,1,6
7,8,2012-11-04,26-330,CHI,@,TEN,W 51-20,12,103,8.58,1,2,2,45,22.50,0,1,6
8,9,2012-11-11,26-337,CHI,,HOU,L 6-13,16,39,2.44,0,5,2,-3,-1.50,0,0,0
9,10,2012-11-19,26-345,CHI,@,SFO,L 7-32,21,63,3.00,0,4,3,4,1.33,0,0,0
10,11,2012-11-25,26-351,CHI,,MIN,W 28-10,14,42,3.00,0,2,2,4,2.00,0,0,0
11,12,2012-12-02,26-358,CHI,,SEA,L 17-23,21,66,3.14,0,3,3,30,10.00,1,1,6
12,13,2012-12-09,26-365,CHI,@,MIN,L 14-21,13,85,6.54,0,7,6,34,5.67,0,0,0
13,14,2012-12-16,27-006,CHI,,GNB,L 13-21,20,69,3.45,0,8,5,64,12.80,0,0,0
14,15,2012-12-23,27-013,CHI,@,ARI,W 28-13,12,88,7.33,1,1,1,7,7.00,0,1,6
15,16,2012-12-30,27-020,CHI,@,DET,W 26-24,24,103,4.29,1,2,2,21,10.50,0,1,6
,,15 Games,,,,,9-6-0,248,1094,4.41,5,60,44,340,7.73,1,6,36
