
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,23-206,CHI,,CIN,W 24-21,8,5,42,8.40,0,0,0,,0,,0,0,0.0,0,0
2,2,2013-09-15,23-213,CHI,,MIN,W 31-30,5,1,11,11.00,0,2,30,15.00,0,,0,0,0.0,0,0
3,3,2013-09-22,23-220,CHI,@,PIT,W 40-23,8,7,51,7.29,0,0,0,,0,,0,0,0.0,0,0
4,4,2013-09-29,23-227,CHI,@,DET,L 32-40,11,5,107,21.40,1,1,27,27.00,0,1,1,8,0.0,2,0
5,5,2013-10-06,23-234,CHI,,NOR,L 18-26,13,10,218,21.80,1,0,0,,0,,1,6,0.0,1,0
6,6,2013-10-10,23-238,CHI,,NYG,W 27-21,5,1,27,27.00,0,1,15,15.00,0,,0,0,0.0,0,0
7,7,2013-10-20,23-248,CHI,@,WAS,L 41-45,7,4,105,26.25,0,2,16,8.00,0,,0,0,0.0,0,0
8,8,2013-11-04,23-263,CHI,@,GNB,W 27-20,9,5,60,12.00,1,1,1,1.00,0,,1,6,0.0,0,0
9,9,2013-11-10,23-269,CHI,,DET,L 19-21,18,9,114,12.67,0,2,5,2.50,0,,0,0,0.0,0,0
10,10,2013-11-17,23-276,CHI,,BAL,W 23-20,10,7,83,11.86,0,3,17,5.67,0,,0,0,0.0,0,0
11,11,2013-11-24,23-283,CHI,@,STL,L 21-42,8,4,42,10.50,0,1,4,4.00,0,,0,0,0.0,1,0
12,12,2013-12-01,23-290,CHI,@,MIN,L 20-23,15,12,249,20.75,2,1,0,0.00,0,,2,12,0.0,0,0
13,13,2013-12-09,23-298,CHI,,DAL,W 45-28,9,5,84,16.80,1,1,-7,-7.00,0,,1,6,0.0,0,0
14,14,2013-12-15,23-304,CHI,@,CLE,W 38-31,5,5,72,14.40,1,1,-3,-3.00,0,,1,6,0.0,0,0
15,15,2013-12-22,23-311,CHI,@,PHI,L 11-54,9,6,76,12.67,0,0,0,,0,,0,0,0.0,0,0
16,16,2013-12-29,23-318,CHI,,GNB,L 28-33,8,3,80,26.67,0,0,0,,0,,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,148,89,1421,15.97,7,16,105,6.56,0,1,7,44,0.0,4,0
