
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,24-205,CHI,,BUF,L 20-23,6,5,71,14.20,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,24-212,CHI,@,SFO,W 28-20,6,3,47,15.67,0,0,0,,0,0,0,0.0,0,0
3,3,2014-09-22,24-220,CHI,@,NYJ,W 27-19,13,8,105,13.13,0,2,13,6.50,0,0,0,0.0,0,0
4,4,2014-09-28,24-226,CHI,,GNB,L 17-38,7,4,39,9.75,1,1,12,12.00,0,1,6,0.0,0,0
5,5,2014-10-05,24-233,CHI,@,CAR,L 24-31,7,6,97,16.17,1,0,0,,0,1,6,0.0,0,0
6,6,2014-10-12,24-240,CHI,@,ATL,W 27-13,7,5,136,27.20,0,2,0,0.00,0,0,0,0.0,0,0
7,7,2014-10-19,24-247,CHI,,MIA,L 14-27,7,2,9,4.50,0,0,0,,0,0,0,0.0,0,0
8,8,2014-10-26,24-254,CHI,@,NWE,L 23-51,8,5,59,11.80,1,0,0,,0,1,6,0.0,0,0
9,9,2014-11-09,24-268,CHI,@,GNB,L 14-55,12,6,63,10.50,0,1,8,8.00,0,0,0,0.0,0,0
10,10,2014-11-16,24-275,CHI,,MIN,W 21-13,17,11,135,12.27,1,0,0,,0,1,6,0.0,1,0
11,11,2014-11-23,24-282,CHI,,TAM,W 21-13,4,3,22,7.33,1,0,0,,0,1,6,0.0,0,0
12,12,2014-11-27,24-286,CHI,@,DET,L 17-34,13,9,71,7.89,2,0,0,,0,2,12,0.0,0,0
13,13,2014-12-04,24-293,CHI,,DAL,L 28-41,9,6,95,15.83,1,0,0,,0,1,6,0.0,0,0
14,14,2014-12-15,24-304,CHI,,NOR,L 15-31,9,4,78,19.50,1,0,0,,0,1,6,0.0,0,0
15,15,2014-12-21,24-310,CHI,,DET,L 14-20,15,6,72,12.00,1,0,0,,0,1,6,0.0,0,0
16,16,2014-12-28,24-317,CHI,@,MIN,L 9-13,5,2,34,17.00,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,5-11-0,145,85,1133,13.33,10,6,33,5.50,0,10,60,0.0,1,0
