
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,28-170,CHI,,IND,W 41-21,15,9,119,13.22,1,0,0,,0,1,6
2,2,2012-09-13,28-174,CHI,@,GNB,L 10-23,5,2,24,12.00,0,0,0,,0,0,0
3,3,2012-09-23,28-184,CHI,,STL,W 23-6,11,5,71,14.20,0,0,0,,0,0,0
4,4,2012-10-01,28-192,CHI,@,DAL,W 34-18,8,7,138,19.71,1,0,0,,0,1,6
5,5,2012-10-07,28-198,CHI,@,JAX,W 41-3,17,12,144,12.00,1,0,0,,0,1,6
6,6,2012-10-22,28-213,CHI,,DET,W 13-7,10,6,81,13.50,1,0,0,,0,1,6
7,7,2012-10-28,28-219,CHI,,CAR,W 23-22,14,9,98,10.89,0,0,0,,0,0,0
8,8,2012-11-04,28-226,CHI,@,TEN,W 51-20,10,9,122,13.56,3,0,0,,0,3,18
9,9,2012-11-11,28-233,CHI,,HOU,L 6-13,13,8,107,13.38,0,0,0,,0,0,0
10,10,2012-11-19,28-241,CHI,@,SFO,L 7-32,4,2,21,10.50,1,0,0,,0,1,6
11,11,2012-11-25,28-247,CHI,,MIN,W 28-10,17,12,92,7.67,0,0,0,,0,0,0
12,12,2012-12-02,28-254,CHI,,SEA,L 17-23,14,10,165,16.50,0,0,0,,0,0,0
13,13,2012-12-09,28-261,CHI,@,MIN,L 14-21,19,10,160,16.00,1,0,0,,0,1,6
14,14,2012-12-16,28-268,CHI,,GNB,L 13-21,7,6,56,9.33,1,0,0,,0,1,6
15,15,2012-12-23,28-275,CHI,@,ARI,W 28-13,14,6,68,11.33,1,0,0,,0,1,6
16,16,2012-12-30,28-282,CHI,@,DET,W 26-24,14,5,42,8.40,0,1,-2,-2.00,0,0,0
,,16 Games,,,,,10-6-0,192,118,1508,12.78,11,1,-2,-2.00,0,11,66
