
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts
1,1,2013-09-08,29-169,CHI,,CIN,W 24-21,10,8,104,13.00,1,0,0,,0,,1,6
2,2,2013-09-15,29-176,CHI,,MIN,W 31-30,10,7,113,16.14,1,0,0,,0,,1,6
3,3,2013-09-22,29-183,CHI,@,PIT,W 40-23,8,5,52,10.40,0,0,0,,0,,0,0
4,4,2013-09-29,29-190,CHI,@,DET,L 32-40,14,7,79,11.29,0,0,0,,0,1,0,2
5,5,2013-10-06,29-197,CHI,,NOR,L 18-26,5,4,30,7.50,1,0,0,,0,,1,6
6,6,2013-10-10,29-201,CHI,,NYG,W 27-21,11,9,87,9.67,2,0,0,,0,,2,12
7,7,2013-10-20,29-211,CHI,@,WAS,L 41-45,10,6,75,12.50,0,0,0,,0,,0,0
8,8,2013-11-04,29-226,CHI,@,GNB,W 27-20,13,7,107,15.29,1,0,0,,0,,1,6
9,9,2013-11-10,29-232,CHI,,DET,L 19-21,12,7,139,19.86,2,0,0,,0,,2,12
10,10,2013-11-17,29-239,CHI,,BAL,W 23-20,10,4,42,10.50,0,0,0,,0,,0,0
11,11,2013-11-24,29-246,CHI,@,STL,L 21-42,12,10,117,11.70,1,0,0,,0,,1,6
12,12,2013-12-01,29-253,CHI,@,MIN,L 20-23,9,4,45,11.25,0,0,0,,0,,0,0
13,13,2013-12-09,29-261,CHI,,DAL,W 45-28,8,6,100,16.67,0,0,0,,0,1,0,2
14,14,2013-12-15,29-267,CHI,@,CLE,W 38-31,13,6,95,15.83,1,1,-8,-8.00,0,,1,6
15,15,2013-12-22,29-274,CHI,@,PHI,L 11-54,9,4,36,9.00,1,0,0,,0,,1,6
16,16,2013-12-29,29-281,CHI,,GNB,L 28-33,10,6,74,12.33,1,0,0,,0,,1,6
,,16 Games,,,,,8-8-0,164,100,1295,12.95,12,1,-8,-8.00,0,2,12,76
