
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,30-168,CHI,,BUF,L 20-23,12,8,71,8.88,1,1,6,0.0,1,0
2,2,2014-09-14,30-175,CHI,@,SFO,W 28-20,8,5,48,9.60,3,3,18,0.0,0,0
3,3,2014-09-22,30-183,CHI,@,NYJ,W 27-19,6,1,6,6.00,0,0,0,0.0,0,0
4,4,2014-09-28,30-189,CHI,,GNB,L 17-38,6,2,19,9.50,1,1,6,0.0,0,0
5,5,2014-10-05,30-196,CHI,@,CAR,L 24-31,5,3,44,14.67,0,0,0,0.0,1,0
6,6,2014-10-12,30-203,CHI,@,ATL,W 27-13,9,6,113,18.83,0,0,0,0.0,0,0
7,7,2014-10-19,30-210,CHI,,MIA,L 14-27,10,6,48,8.00,0,0,0,0.0,1,0
8,8,2014-10-26,30-217,CHI,@,NWE,L 23-51,10,3,35,11.67,0,0,0,0.0,1,0
9,9,2014-11-09,30-231,CHI,@,GNB,L 14-55,10,8,112,14.00,1,1,6,0.0,0,0
10,10,2014-11-16,30-238,CHI,,MIN,W 21-13,10,7,90,12.86,2,2,12,0.0,0,0
11,11,2014-11-23,30-245,CHI,,TAM,W 21-13,5,3,32,10.67,0,0,0,0.0,0,0
12,12,2014-11-27,30-249,CHI,@,DET,L 17-34,11,6,42,7.00,0,0,0,0.0,0,0
13,13,2014-12-04,30-256,CHI,,DAL,L 28-41,4,3,61,20.33,0,0,0,0.0,0,0
,,13 Games,,,,,5-8-0,106,61,721,11.82,8,8,48,0.0,4,0
