
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,7,2013-10-20,34-108,CHI,@,WAS,L 41-45,,14,20,70.00,204,1,0,119.6,10.20,11.20,4,33,8.25,0,0,0
2,8,2013-11-04,34-123,CHI,@,GNB,W 27-20,*,22,41,53.66,272,2,0,90.7,6.63,7.61,1,20,20.00,0,0,0
3,9,2013-11-10,34-129,CHI,,DET,L 19-21,,6,9,66.67,62,1,0,123.4,6.89,9.11,0,0,,0,0,0
4,10,2013-11-17,34-136,CHI,,BAL,W 23-20,*,19,31,61.29,216,1,0,92.9,6.97,7.61,2,-1,-0.50,0,0,0
5,11,2013-11-24,34-143,CHI,@,STL,L 21-42,*,36,47,76.60,352,2,1,102.4,7.49,7.38,2,4,2.00,0,0,0
6,12,2013-12-01,34-150,CHI,@,MIN,L 20-23,*,23,36,63.89,355,2,0,114.9,9.86,10.97,0,0,,0,0,0
7,13,2013-12-09,34-158,CHI,,DAL,W 45-28,*,27,36,75.00,348,4,0,141.9,9.67,11.89,3,16,5.33,1,1,6
8,15,2013-12-22,34-171,CHI,@,PHI,L 11-54,,2,4,50.00,20,0,0,64.6,5.00,5.00,1,-3,-3.00,0,0,0
,,8 Games,,,,,3-5-0,,149,224,66.52,1829,13,1,109.0,8.17,9.13,13,69,5.31,1,1,6
