
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,21-290,CIN,@,CHI,L 21-24,4,22,5.50,0,2,1,8,8.00,0,0,0,0.0,0,0
2,2,2013-09-16,21-298,CIN,,PIT,W 20-10,8,38,4.75,1,2,1,27,27.00,1,2,12,0.0,0,0
3,3,2013-09-22,21-304,CIN,,GNB,W 34-30,10,50,5.00,1,4,4,49,12.25,0,1,6,0.0,0,0
4,4,2013-09-29,21-311,CIN,@,CLE,L 6-17,10,37,3.70,0,7,6,38,6.33,0,0,0,0.0,0,0
5,5,2013-10-06,21-318,CIN,,NWE,W 13-6,13,62,4.77,0,3,2,7,3.50,0,0,0,0.0,0,0
6,6,2013-10-13,21-325,CIN,@,BUF,W 27-24,15,28,1.87,0,7,6,72,12.00,1,1,6,0.0,0,0
7,7,2013-10-20,21-332,CIN,@,DET,W 27-24,7,27,3.86,0,6,5,32,6.40,0,0,0,0.0,0,0
8,8,2013-10-27,21-339,CIN,,NYJ,W 49-9,5,18,3.60,0,2,1,9,9.00,0,0,0,0.0,0,0
9,9,2013-10-31,21-343,CIN,@,MIA,L 20-22,9,79,8.78,2,4,4,25,6.25,0,2,12,0.0,0,0
10,10,2013-11-10,21-353,CIN,@,BAL,L 17-20,14,58,4.14,0,8,8,37,4.63,1,1,6,0.0,0,0
11,11,2013-11-17,21-360,CIN,,CLE,W 41-20,10,45,4.50,0,5,4,41,10.25,0,0,0,0.0,0,0
12,12,2013-12-01,22-009,CIN,@,SDG,W 17-10,14,57,4.07,0,2,1,9,9.00,0,0,0,0.0,1,0
13,13,2013-12-08,22-016,CIN,,IND,W 42-28,12,99,8.25,0,4,4,49,12.25,0,0,0,0.0,0,0
14,14,2013-12-15,22-023,CIN,@,PIT,L 20-30,13,33,2.54,1,4,2,13,6.50,0,1,6,0.0,0,0
15,15,2013-12-22,22-030,CIN,,MIN,W 42-14,13,20,1.54,0,4,2,47,23.50,0,0,0,0.0,0,0
16,16,2013-12-29,22-037,CIN,,BAL,W 34-17,13,22,1.69,0,7,5,51,10.20,0,0,0,0.0,0,0
,,16 Games,,,,,11-5-0,170,695,4.09,5,71,56,514,9.18,3,8,48,0.0,1,0
