
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,25-039,CIN,@,CHI,L 21-24,13,9,162,18.00,2,2,12,0.0,1,0
2,2,2013-09-16,25-047,CIN,,PIT,W 20-10,14,6,41,6.83,0,0,0,0.0,0,0
3,3,2013-09-22,25-053,CIN,,GNB,W 34-30,8,4,46,11.50,1,1,6,0.0,1,0
4,4,2013-09-29,25-060,CIN,@,CLE,L 6-17,15,7,51,7.29,0,0,0,0.0,0,0
5,5,2013-10-06,25-067,CIN,,NWE,W 13-6,8,5,61,12.20,0,0,0,0.0,0,0
6,6,2013-10-13,25-074,CIN,@,BUF,W 27-24,11,6,103,17.17,1,1,6,0.0,0,0
7,7,2013-10-20,25-081,CIN,@,DET,W 27-24,8,6,155,25.83,1,1,6,0.0,0,0
8,8,2013-10-27,25-088,CIN,,NYJ,W 49-9,7,3,115,38.33,0,0,0,0.0,0,0
9,9,2013-10-31,25-092,CIN,@,MIA,L 20-22,19,11,128,11.64,0,0,0,0.0,1,0
10,10,2013-11-10,25-102,CIN,@,BAL,L 17-20,15,8,151,18.88,1,1,6,0.0,0,0
11,11,2013-11-17,25-109,CIN,,CLE,W 41-20,5,2,7,3.50,0,0,0,0.0,0,0
12,12,2013-12-01,25-123,CIN,@,SDG,W 17-10,7,5,83,16.60,1,1,6,0.0,0,0
13,13,2013-12-08,25-130,CIN,,IND,W 42-28,8,6,72,12.00,1,1,6,0.0,0,0
14,14,2013-12-15,25-137,CIN,@,PIT,L 20-30,18,9,93,10.33,0,0,0,0.0,0,0
15,15,2013-12-22,25-144,CIN,,MIN,W 42-14,12,7,97,13.86,2,2,12,0.0,0,0
16,16,2013-12-29,25-151,CIN,,BAL,W 34-17,10,4,61,15.25,1,1,6,0.0,0,0
,,16 Games,,,,,11-5-0,178,98,1426,14.55,11,11,66,0.0,3,0
