
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,26-038,CIN,@,BAL,W 23-16,9,6,131,21.83,1,1,5,5.00,0,1,6,0.0,0,0
2,2,2014-09-14,26-045,CIN,,ATL,W 24-10,,,,,,,,,,,,,,
3,3,2014-09-21,26-052,CIN,,TEN,W 33-7,9,6,102,17.00,0,0,0,,0,0,0,0.0,0,0
4,4,2014-10-05,26-066,CIN,@,NWE,L 17-43,8,5,81,16.20,1,0,0,,0,1,6,0.0,0,0
5,8,2014-11-02,26-094,CIN,,JAX,W 33-23,6,3,44,14.67,1,1,-3,-3.00,0,1,6,0.0,0,0
6,9,2014-11-06,26-098,CIN,,CLE,L 3-24,10,3,23,7.67,0,0,0,,0,0,0,0.0,0,0
7,10,2014-11-16,26-108,CIN,@,NOR,W 27-10,8,6,127,21.17,1,0,0,,0,1,6,0.0,0,0
8,11,2014-11-23,26-115,CIN,@,HOU,W 22-13,16,12,121,10.08,0,0,0,,0,0,0,0.0,0,0
9,12,2014-11-30,26-122,CIN,@,TAM,W 14-13,8,4,57,14.25,1,0,0,,0,1,6,0.0,1,0
10,13,2014-12-07,26-129,CIN,,PIT,L 21-42,15,11,224,20.36,1,0,0,,0,1,6,0.0,0,0
11,14,2014-12-14,26-136,CIN,@,CLE,W 30-0,11,5,49,9.80,0,0,0,,0,0,0,0.0,0,0
12,15,2014-12-22,26-144,CIN,,DEN,W 37-28,4,0,0,,0,0,0,,0,0,0,0.0,0,0
13,16,2014-12-28,26-150,CIN,@,PIT,L 17-27,13,8,82,10.25,0,0,0,,0,0,0,0.0,0,0
,,13 Games,,,,,9-4-0,117,69,1041,15.09,6,2,2,1.00,0,6,36,0.0,1,0
