
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-10,27-070,CIN,@,BAL,L 13-44,18,91,5.06,1,2,1,4,4.00,0,1,6
2,2,2012-09-16,27-076,CIN,,CLE,W 34-27,21,75,3.57,0,3,3,30,10.00,0,0,0
3,3,2012-09-23,27-083,CIN,@,WAS,W 38-31,17,38,2.24,1,1,0,0,,0,1,6
4,4,2012-09-30,27-090,CIN,@,JAX,W 27-10,26,82,3.15,0,3,2,12,6.00,0,0,0
5,5,2012-10-07,27-097,CIN,,MIA,L 13-17,9,14,1.56,0,2,1,2,2.00,0,0,0
6,6,2012-10-14,27-104,CIN,@,CLE,L 24-34,16,62,3.88,0,1,1,8,8.00,0,0,0
7,7,2012-10-21,27-111,CIN,,PIT,L 17-24,18,69,3.83,0,1,0,0,,0,0,0
8,8,2012-11-04,27-125,CIN,,DEN,L 23-31,17,56,3.29,1,3,2,-3,-1.50,0,1,6
9,9,2012-11-11,27-132,CIN,,NYG,W 31-13,15,50,3.33,0,2,2,8,4.00,0,0,0
10,10,2012-11-18,27-139,CIN,@,KAN,W 28-6,25,101,4.04,1,1,1,7,7.00,0,1,6
11,11,2012-11-25,27-146,CIN,,OAK,W 34-10,19,129,6.79,1,1,1,9,9.00,0,1,6
12,12,2012-12-02,27-153,CIN,@,SDG,W 20-13,25,118,4.72,0,5,4,14,3.50,0,0,0
13,13,2012-12-09,27-160,CIN,,DAL,L 19-20,12,89,7.42,0,4,3,13,4.33,0,0,0
14,14,2012-12-13,27-164,CIN,@,PHI,W 34-13,25,106,4.24,1,0,0,0,,0,1,6
15,15,2012-12-23,27-174,CIN,@,PIT,W 13-10,15,14,0.93,0,1,1,0,0.00,0,0,0
16,16,2012-12-30,27-181,CIN,,BAL,W 23-17,,,,,,,,,,,
,,16 Games,,,,,10-6-0,278,1094,3.94,6,30,22,104,4.73,0,6,36
