
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-10,24-086,CIN,@,BAL,L 13-44,8,3,30,10.00,0,0,0
2,2,2012-09-16,24-092,CIN,,CLE,W 34-27,5,4,37,9.25,0,0,0
3,3,2012-09-23,24-099,CIN,@,WAS,W 38-31,7,5,64,12.80,1,1,6
4,4,2012-09-30,24-106,CIN,@,JAX,W 27-10,5,5,47,9.40,0,0,0
5,5,2012-10-07,24-113,CIN,,MIA,L 13-17,6,5,60,12.00,0,0,0
6,6,2012-10-14,24-120,CIN,@,CLE,L 24-34,7,3,68,22.67,1,1,6
7,7,2012-10-21,24-127,CIN,,PIT,L 17-24,5,3,19,6.33,0,0,0
8,8,2012-11-04,24-141,CIN,,DEN,L 23-31,8,6,108,18.00,0,0,0
9,9,2012-11-11,24-148,CIN,,NYG,W 31-13,4,3,15,5.00,1,1,6
10,10,2012-11-18,24-155,CIN,@,KAN,W 28-6,8,6,69,11.50,0,0,0
11,11,2012-11-25,24-162,CIN,,OAK,W 34-10,4,4,41,10.25,1,1,6
12,12,2012-12-02,24-169,CIN,@,SDG,W 20-13,6,4,35,8.75,1,1,6
13,13,2012-12-09,24-176,CIN,,DAL,L 19-20,7,4,43,10.75,0,0,0
14,14,2012-12-13,24-180,CIN,@,PHI,W 34-13,9,6,63,10.50,0,0,0
15,15,2012-12-23,24-190,CIN,@,PIT,W 13-10,4,3,38,12.67,0,0,0
16,16,2012-12-30,24-197,CIN,,BAL,W 23-17,1,0,0,,0,0,0
,,16 Games,,,,,10-6-0,94,64,737,11.52,5,5,30
