
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-094,CLE,,CIN,L 17-27,3,1,13,13.00,0,1,-3,-3.00,0,3,91,30.33,0,6,58,9.67,0,0,0,0.0,0,0
2,2,2011-09-18,28-101,CLE,@,IND,W 27-19,3,3,41,13.67,0,0,0,,0,2,80,40.00,0,2,52,26.00,0,0,0,0.0,0,0
3,3,2011-09-25,28-108,CLE,,MIA,W 17-16,6,3,49,16.33,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,0
4,4,2011-10-02,28-115,CLE,,TEN,L 13-31,8,5,50,10.00,0,0,0,,0,2,28,14.00,0,2,18,9.00,0,0,0,0.0,0,0
5,5,2011-10-16,28-129,CLE,@,OAK,L 17-24,5,2,30,15.00,0,0,0,,0,3,53,17.67,0,2,30,15.00,0,0,0,0.0,0,0
6,6,2011-10-23,28-136,CLE,,SEA,W 6-3,6,1,9,9.00,0,0,0,,0,1,23,23.00,0,4,14,3.50,0,0,0,0.0,0,0
7,7,2011-10-30,28-143,CLE,@,SFO,L 10-20,3,2,56,28.00,1,0,0,,0,4,102,25.50,0,3,34,11.33,0,1,6,0.0,0,1
8,8,2011-11-06,28-150,CLE,@,HOU,L 12-30,5,5,50,10.00,1,0,0,,0,2,94,47.00,0,1,3,3.00,0,1,6,0.0,0,1
9,9,2011-11-13,28-157,CLE,,STL,L 12-13,5,3,32,10.67,0,3,21,7.00,0,1,27,27.00,0,2,6,3.00,0,0,0,0.0,0,0
10,10,2011-11-20,28-164,CLE,,JAX,W 14-10,3,3,20,6.67,1,1,2,2.00,0,2,63,31.50,0,1,0,0.00,0,1,6,0.0,0,0
11,11,2011-11-27,28-171,CLE,@,CIN,L 20-23,4,1,8,8.00,0,1,2,2.00,0,5,109,21.80,0,3,18,6.00,0,0,0,0.0,0,2
12,12,2011-12-04,28-178,CLE,,BAL,L 10-24,0,0,0,,0,0,0,,0,4,95,23.75,0,1,9,9.00,0,0,0,0.0,0,1
13,13,2011-12-08,28-182,CLE,@,PIT,L 3-14,2,2,38,19.00,0,1,3,3.00,0,1,22,22.00,0,0,0,,0,0,0,0.0,0,0
14,14,2011-12-18,28-192,CLE,@,ARI,L 17-20,1,1,3,3.00,0,0,0,,0,2,51,25.50,0,3,40,13.33,0,0,0,0.0,0,0
15,15,2011-12-24,28-198,CLE,@,BAL,L 14-20,3,2,28,14.00,0,0,0,,0,5,113,22.60,0,1,84,84.00,1,0,6,0.0,0,0
16,16,2012-01-01,28-206,CLE,,PIT,L 9-13,10,7,91,13.00,0,0,0,,0,2,23,11.50,0,3,22,7.33,0,0,0,0.0,0,0
,,16 Games,,,,,4-12-0,67,41,518,12.63,4,7,25,3.57,0,39,974,24.97,0,34,388,11.41,1,4,30,0.0,1,5
