
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-07,21-242,CLE,@,PIT,L 27-30,5,32,6.40,2,0,0,0,,0,2,12
2,2,2014-09-14,21-249,CLE,,NOR,W 26-24,11,54,4.91,0,1,1,3,3.00,0,0,0
3,3,2014-09-21,21-256,CLE,,BAL,L 21-23,11,55,5.00,1,0,0,0,,0,1,6
4,4,2014-10-05,21-270,CLE,@,TEN,W 29-28,6,19,3.17,0,0,0,0,,0,0,0
5,5,2014-10-12,21-277,CLE,,PIT,W 31-10,11,77,7.00,1,0,0,0,,0,1,6
6,6,2014-10-19,21-284,CLE,@,JAX,L 6-24,7,18,2.57,0,2,1,5,5.00,0,0,0
7,7,2014-10-26,21-291,CLE,,OAK,W 23-13,1,1,1.00,0,1,1,8,8.00,0,0,0
8,8,2014-11-02,21-298,CLE,,TAM,W 22-17,,,,,,,,,,,
9,9,2014-11-06,21-302,CLE,@,CIN,W 24-3,12,41,3.42,1,0,0,0,,0,1,6
10,10,2014-11-16,21-312,CLE,,HOU,L 7-23,14,61,4.36,0,4,2,30,15.00,0,0,0
11,11,2014-11-23,21-319,CLE,@,ATL,W 26-24,12,88,7.33,2,0,0,0,,0,2,12
12,12,2014-11-30,21-326,CLE,@,BUF,L 10-26,17,29,1.71,0,2,1,15,15.00,0,0,0
13,13,2014-12-07,21-333,CLE,,IND,L 24-25,14,54,3.86,1,0,0,0,,0,1,6
14,14,2014-12-14,21-340,CLE,,CIN,L 0-30,7,17,2.43,0,3,2,10,5.00,0,0,0
15,15,2014-12-21,21-347,CLE,@,CAR,L 13-17,16,55,3.44,0,0,0,0,,0,0,0
16,16,2014-12-28,21-354,CLE,@,BAL,L 10-20,4,6,1.50,0,1,1,16,16.00,0,0,0
,,16 Games,,,,,7-9-0,148,607,4.10,8,14,9,87,9.67,0,8,48
