
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,21-149,CLE,,PHI,L 16-17,4,2,32,16.00,0,0,0
2,2,2012-09-16,21-156,CLE,@,CIN,L 27-34,3,1,5,5.00,0,0,0
3,3,2012-09-23,21-163,CLE,,BUF,L 14-24,6,3,40,13.33,0,0,0
4,4,2012-09-27,21-167,CLE,@,BAL,L 16-23,1,1,16,16.00,0,0,0
5,5,2012-10-07,21-177,CLE,@,NYG,L 27-41,8,2,82,41.00,2,2,12
6,6,2012-10-14,21-184,CLE,,CIN,W 34-24,4,3,99,33.00,1,1,6
7,7,2012-10-21,21-191,CLE,@,IND,L 13-17,11,2,59,29.50,1,1,6
8,8,2012-10-28,21-198,CLE,,SDG,W 7-6,5,3,46,15.33,0,0,0
9,9,2012-11-04,21-205,CLE,,BAL,L 15-25,3,2,38,19.00,0,0,0
10,10,2012-11-18,21-219,CLE,@,DAL,L 20-23,7,5,53,10.60,0,0,0
11,11,2012-11-25,21-226,CLE,,PIT,W 20-14,7,4,60,15.00,0,0,0
12,12,2012-12-02,21-233,CLE,@,OAK,W 20-17,7,6,116,19.33,1,1,6
13,13,2012-12-09,21-240,CLE,,KAN,W 30-7,12,8,86,10.75,0,0,0
14,14,2012-12-16,21-247,CLE,,WAS,L 21-38,8,3,27,9.00,0,0,0
15,15,2012-12-23,21-254,CLE,@,DEN,L 12-34,3,1,7,7.00,0,0,0
16,16,2012-12-30,21-261,CLE,@,PIT,L 10-24,7,4,39,9.75,0,0,0
,,16 Games,,,,,5-11-0,96,50,805,16.10,5,5,30
