
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,3,2013-09-22,22-162,CLE,@,MIN,W 31-27,19,10,146,14.60,1,1,22,22.00,0,1,6,0.0,1,0
2,4,2013-09-29,22-169,CLE,,CIN,W 17-6,9,4,71,17.75,0,0,0,,0,0,0,0.0,0,0
3,5,2013-10-03,22-173,CLE,,BUF,W 37-24,6,4,86,21.50,1,0,0,,0,1,6,0.0,0,0
4,6,2013-10-13,22-183,CLE,,DET,L 17-31,9,7,126,18.00,0,1,0,0.00,0,0,0,0.0,0,0
5,7,2013-10-20,22-190,CLE,@,GNB,L 13-31,6,2,21,10.50,0,0,0,,0,0,0,0.0,0,0
6,8,2013-10-27,22-197,CLE,@,KAN,L 17-23,10,5,132,26.40,1,0,0,,0,1,6,0.0,0,0
7,9,2013-11-03,22-204,CLE,,BAL,W 24-18,7,3,44,14.67,0,1,10,10.00,0,0,0,0.0,0,0
8,10,2013-11-17,22-218,CLE,@,CIN,L 20-41,15,5,125,25.00,1,0,0,,0,1,6,0.0,0,0
9,11,2013-11-24,22-225,CLE,,PIT,L 11-27,17,14,237,16.93,1,0,0,,0,1,6,0.0,0,0
10,12,2013-12-01,22-232,CLE,,JAX,L 28-32,15,10,261,26.10,2,0,0,,0,2,12,0.0,0,0
11,13,2013-12-08,22-239,CLE,@,NWE,L 26-27,10,7,151,21.57,1,1,34,34.00,0,1,6,0.0,0,0
12,14,2013-12-15,22-246,CLE,,CHI,L 31-38,10,3,67,22.33,1,0,0,,0,1,6,0.0,0,0
13,15,2013-12-22,22-253,CLE,@,NYJ,L 13-24,16,6,97,16.17,0,1,22,22.00,0,0,0,0.0,0,0
14,16,2013-12-29,22-260,CLE,@,PIT,L 7-20,10,7,82,11.71,0,0,0,,0,0,0,0.0,0,0
,,14 Games,,,,,4-10-0,159,87,1646,18.92,9,5,88,17.60,0,9,54,0.0,1,0
