
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2011-09-11,25-233,CLE,,CIN,L 17-27,17,57,3.35,0,8,6,30,5.00,0,0,0
2,2,2011-09-18,25-240,CLE,@,IND,W 27-19,27,94,3.48,2,4,4,23,5.75,0,2,12
3,4,2011-10-02,25-254,CLE,,TEN,L 13-31,10,46,4.60,0,6,5,23,4.60,0,0,0
4,5,2011-10-16,25-268,CLE,@,OAK,L 17-24,6,14,2.33,0,1,0,0,,0,0,0
5,11,2011-11-27,25-310,CLE,@,CIN,L 20-23,19,65,3.42,0,2,2,-4,-2.00,0,0,0
6,12,2011-12-04,25-317,CLE,,BAL,L 10-24,12,45,3.75,0,2,1,52,52.00,0,0,0
7,13,2011-12-08,25-321,CLE,@,PIT,L 3-14,10,25,2.50,0,1,0,0,,0,0,0
8,14,2011-12-18,25-331,CLE,@,ARI,L 17-20,26,99,3.81,1,3,1,9,9.00,0,1,6
9,15,2011-12-24,25-337,CLE,@,BAL,L 14-20,24,112,4.67,0,4,2,0,0.00,0,0,0
10,16,2012-01-01,25-345,CLE,,PIT,L 9-13,10,30,3.00,0,3,1,-3,-3.00,0,0,0
,,10 Games,,,,,1-9-0,161,587,3.65,3,34,22,130,5.91,0,3,18
