
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,27-111,CLE,,MIA,L 10-23,0,0,,0,3,1,10,10.00,0,0,0,0.0,0,0
2,2,2013-09-15,27-118,CLE,@,BAL,L 6-14,0,0,,0,3,2,24,12.00,0,0,0,0.0,0,0
3,3,2013-09-22,27-125,CLE,@,MIN,W 31-27,2,23,11.50,0,5,4,30,7.50,0,0,0,0.0,2,0
4,4,2013-09-29,27-132,CLE,,CIN,W 17-6,5,27,5.40,0,5,5,21,4.20,1,1,6,0.0,0,0
5,5,2013-10-03,27-136,CLE,,BUF,W 37-24,0,0,,0,2,1,7,7.00,0,0,0,0.0,0,0
6,6,2013-10-13,27-146,CLE,,DET,L 17-31,5,24,4.80,0,12,7,61,8.71,1,1,6,0.0,2,0
7,7,2013-10-20,27-153,CLE,@,GNB,L 13-31,4,15,3.75,0,2,0,0,,0,0,0,0.0,0,1
8,8,2013-10-27,27-160,CLE,@,KAN,L 17-23,3,12,4.00,0,4,3,15,5.00,0,0,0,0.0,0,0
9,9,2013-11-03,27-167,CLE,,BAL,W 24-18,0,0,,0,6,5,39,7.80,0,0,0,0.0,1,0
10,10,2013-11-17,27-181,CLE,@,CIN,L 20-41,8,69,8.63,0,12,6,30,5.00,0,0,0,0.0,0,0
11,11,2013-11-24,27-188,CLE,,PIT,L 11-27,4,26,6.50,0,5,2,15,7.50,0,0,0,0.0,1,0
12,12,2013-12-01,27-195,CLE,,JAX,L 28-32,7,20,2.86,0,5,2,14,7.00,0,0,0,0.0,0,0
13,13,2013-12-08,27-202,CLE,@,NWE,L 26-27,5,9,1.80,0,3,3,25,8.33,0,0,0,0.0,0,0
14,14,2013-12-15,27-209,CLE,,CHI,L 31-38,5,7,1.40,0,4,5,39,7.80,0,0,0,0.0,0,0
15,15,2013-12-22,27-216,CLE,@,NYJ,L 13-24,1,8,8.00,0,1,1,4,4.00,0,0,0,0.0,0,0
16,16,2013-12-29,27-223,CLE,@,PIT,L 7-20,0,0,,0,2,1,9,9.00,0,0,0,0.0,0,0
,,16 Games,,,,,4-12-0,49,240,4.90,0,74,48,343,7.15,2,2,12,0.0,6,1
