
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,22-061,CLE,,PHI,L 16-17,19,39,2.05,0,3,1,5,5.00,0,0,0
2,2,2012-09-16,22-068,CLE,@,CIN,L 27-34,19,109,5.74,1,5,4,36,9.00,1,2,12
3,3,2012-09-23,22-075,CLE,,BUF,L 14-24,12,27,2.25,1,7,6,24,4.00,0,1,6
4,4,2012-09-27,22-079,CLE,@,BAL,L 16-23,14,47,3.36,1,6,4,57,14.25,0,1,6
5,5,2012-10-07,22-089,CLE,@,NYG,L 27-41,17,81,4.76,1,7,5,47,9.40,0,1,6
6,6,2012-10-14,22-096,CLE,,CIN,W 34-24,14,37,2.64,0,3,2,17,8.50,0,0,0
7,7,2012-10-21,22-103,CLE,@,IND,L 13-17,8,8,1.00,0,2,2,11,5.50,0,0,0
8,8,2012-10-28,22-110,CLE,,SDG,W 7-6,24,122,5.08,1,1,1,12,12.00,0,1,6
9,9,2012-11-04,22-117,CLE,,BAL,L 15-25,25,105,4.20,0,9,6,31,5.17,0,0,0
10,10,2012-11-18,22-131,CLE,@,DAL,L 20-23,28,95,3.39,0,8,6,49,8.17,0,0,0
11,11,2012-11-25,22-138,CLE,,PIT,W 20-14,29,85,2.93,1,4,4,27,6.75,0,1,6
12,12,2012-12-02,22-145,CLE,@,OAK,W 20-17,20,72,3.60,1,5,3,23,7.67,0,1,6
13,13,2012-12-09,22-152,CLE,,KAN,W 30-7,18,42,2.33,2,2,1,9,9.00,0,2,12
14,14,2012-12-16,22-159,CLE,,WAS,L 21-38,11,28,2.55,2,4,3,4,1.33,0,2,12
15,15,2012-12-23,22-166,CLE,@,DEN,L 12-34,9,53,5.89,0,4,3,15,5.00,0,0,0
,,15 Games,,,,,5-10-0,267,950,3.56,11,70,51,367,7.20,1,12,72
