
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2014-09-07,26-017,CLE,@,PIT,L 27-30,6,41,6.83,0,0,0,0,,0,0,0
2,4,2014-10-05,26-045,CLE,@,TEN,W 29-28,22,124,5.64,0,2,1,-2,-2.00,0,0,0
3,5,2014-10-12,26-052,CLE,,PIT,W 31-10,25,78,3.12,2,0,0,0,,0,2,12
4,6,2014-10-19,26-059,CLE,@,JAX,L 6-24,16,36,2.25,0,2,1,-2,-2.00,0,0,0
5,7,2014-10-26,26-066,CLE,,OAK,W 23-13,15,26,1.73,1,1,1,8,8.00,0,1,6
6,8,2014-11-02,26-073,CLE,,TAM,W 22-17,10,3,0.30,0,4,4,29,7.25,0,0,0
7,9,2014-11-06,26-077,CLE,@,CIN,W 24-3,10,34,3.40,1,2,2,27,13.50,0,1,6
8,10,2014-11-16,26-087,CLE,,HOU,L 7-23,2,-9,-4.50,0,1,0,0,,0,0,0
9,12,2014-11-30,26-101,MIN,,CAR,W 31-13,5,15,3.00,0,0,0,0,,0,0,0
10,13,2014-12-07,26-108,MIN,,NYJ,W 30-24,3,15,5.00,0,0,0,0,,0,0,0
11,14,2014-12-14,26-115,MIN,@,DET,L 14-16,5,8,1.60,0,0,0,0,,0,0,0
,,11 Games,,,,,7-4-0,119,371,3.12,4,12,9,60,6.67,0,4,24
