
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,28-172,IND,@,DEN,L 24-31,3,15,5.00,0,6,5,70,14.00,0,0,0,0.0,0,0
2,2,2014-09-15,28-180,IND,,PHI,L 27-30,13,70,5.38,0,5,5,26,5.20,2,2,12,0.0,0,0
3,3,2014-09-21,28-186,IND,@,JAX,W 44-17,9,65,7.22,0,3,2,18,9.00,1,1,6,0.0,0,0
4,4,2014-09-28,28-193,IND,,TEN,W 41-17,9,32,3.56,0,2,2,20,10.00,1,1,6,0.0,0,0
5,5,2014-10-05,28-200,IND,,BAL,W 20-13,15,68,4.53,0,5,4,17,4.25,0,0,0,0.0,0,0
6,6,2014-10-09,28-204,IND,@,HOU,W 33-28,11,34,3.09,0,6,3,25,8.33,1,1,6,0.0,0,0
7,7,2014-10-19,28-214,IND,,CIN,W 27-0,10,52,5.20,1,3,3,36,12.00,1,2,12,0.0,1,0
8,8,2014-10-26,28-221,IND,@,PIT,L 34-51,6,35,5.83,1,7,7,52,7.43,0,1,6,0.0,0,0
9,9,2014-11-03,28-229,IND,@,NYG,W 40-24,7,50,7.14,0,5,3,29,9.67,0,0,0,0.0,0,0
10,10,2014-11-16,28-242,IND,,NWE,L 20-42,7,4,0.57,0,5,4,7,1.75,0,0,0,0.0,0,0
,,10 Games,,,,,6-4-0,90,425,4.72,2,47,38,300,7.89,6,8,48,0.0,1,0
