
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,24-153,IND,@,HOU,L 7-34,,,,,,,,,,,,,,
2,2,2011-09-18,24-160,IND,,CLE,L 19-27,,,,,,,,,,,,,,
3,3,2011-09-25,24-167,IND,,PIT,L 20-23,,,,,,,,,,,,,,
4,4,2011-10-03,24-175,IND,@,TAM,L 17-24,,,,,,,,,,,,,,
5,5,2011-10-09,24-181,IND,,KAN,L 24-28,8,38,4.75,0,0,0,0,,0,0,0,0.0,0,0
6,6,2011-10-16,24-188,IND,@,CIN,L 17-27,5,35,7.00,1,2,2,16,8.00,0,1,6,0.0,0,0
7,7,2011-10-23,24-195,IND,@,NOR,L 7-62,9,47,5.22,0,0,0,0,,0,0,0,0.0,0,0
8,8,2011-10-30,24-202,IND,@,TEN,L 10-27,10,33,3.30,1,1,1,1,1.00,0,1,6,0.0,0,0
9,9,2011-11-06,24-209,IND,,ATL,L 7-31,16,70,4.38,0,3,1,1,1.00,0,0,0,0.0,0,0
10,10,2011-11-13,24-216,IND,,JAX,L 3-17,14,53,3.79,0,4,4,12,3.00,0,0,0,0.0,1,0
11,11,2011-11-27,24-230,IND,,CAR,L 19-27,14,80,5.71,1,1,1,17,17.00,0,1,6,0.0,0,0
12,12,2011-12-04,24-237,IND,@,NWE,L 24-31,14,41,2.93,1,1,1,15,15.00,0,1,6,0.0,0,0
13,13,2011-12-11,24-244,IND,@,BAL,L 10-24,9,28,3.11,0,1,1,-6,-6.00,0,0,0,0.0,0,0
14,14,2011-12-18,24-251,IND,,TEN,W 27-13,16,161,10.06,1,1,1,2,2.00,0,1,6,0.0,0,0
15,15,2011-12-22,24-255,IND,,HOU,W 19-16,11,35,3.18,0,3,2,13,6.50,0,0,0,0.0,0,0
16,16,2012-01-01,24-265,IND,@,JAX,L 13-19,8,24,3.00,0,2,2,15,7.50,0,0,0,0.0,0,0
,,16 Games,,,,,2-14-0,134,645,4.81,5,19,16,86,5.38,0,5,30,0.0,1,0
