
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,25-034,IND,@,HOU,L 7-34,6,3,39,13.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,25-041,IND,,CLE,L 19-27,5,3,28,9.33,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,3,2011-09-25,25-048,IND,,PIT,L 20-23,10,6,82,13.67,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,4,2011-10-03,25-056,IND,@,TAM,L 17-24,8,2,146,73.00,2,0,0,,0,0,0,,0,2,12,0.0,0,0
5,5,2011-10-09,25-062,IND,,KAN,L 24-28,8,5,125,25.00,2,0,0,,0,0,0,,0,2,12,0.0,0,0
6,6,2011-10-16,25-069,IND,@,CIN,L 17-27,11,8,52,6.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-23,25-076,IND,@,NOR,L 7-62,6,3,31,10.33,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2011-10-30,25-083,IND,@,TEN,L 10-27,15,7,66,9.43,0,0,0,,0,0,0,,0,0,0,0.0,1,0
9,9,2011-11-06,25-090,IND,,ATL,L 7-31,6,3,22,7.33,0,0,0,,0,2,-2,-1.00,0,0,0,0.0,0,0
10,10,2011-11-13,25-097,IND,,JAX,L 3-17,6,3,30,10.00,0,1,18,18.00,0,4,11,2.75,0,0,0,0.0,0,0
11,11,2011-11-27,25-111,IND,,CAR,L 19-27,8,3,34,11.33,0,2,2,1.00,0,2,-7,-3.50,0,0,0,0.0,0,0
12,12,2011-12-04,25-118,IND,@,NWE,L 24-31,12,9,150,16.67,2,0,0,,0,0,0,,0,2,12,0.0,0,0
13,13,2011-12-11,25-125,IND,@,BAL,L 10-24,12,5,46,9.20,0,0,0,,0,1,8,8.00,0,0,0,0.0,0,0
14,14,2011-12-18,25-132,IND,,TEN,W 27-13,4,2,24,12.00,0,1,8,8.00,0,5,15,3.00,0,0,0,0.0,1,0
15,15,2011-12-22,25-136,IND,,HOU,W 19-16,12,6,50,8.33,0,0,0,,0,1,20,20.00,0,0,0,0.0,0,0
16,16,2012-01-01,25-146,IND,@,JAX,L 13-19,5,2,22,11.00,0,0,0,,0,1,-1,-1.00,0,0,0,0.0,0,0
,,16 Games,,,,,2-14-0,134,70,947,13.53,6,4,28,7.00,0,16,44,2.75,0,6,36,0.0,2,0
