
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2,2012-09-16,22-307,IND,,MIN,W 23-20,1,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,,,1,19,19.00,0,1,11,11.00,0,0,0,0.0,0,0
2,3,2012-09-23,22-314,IND,,JAX,L 17-22,8,4,113,28.25,1,0,0,,0,0,0,,0,0,0,,,,1,26,26.00,0,4,29,7.25,0,1,6,0.0,0,0
3,4,2012-10-07,22-328,IND,,GNB,W 30-27,9,3,37,12.33,0,1,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,2,13,6.50,0,0,0,0.0,0,0
4,5,2012-10-14,22-335,IND,@,NYJ,L 9-35,4,3,31,10.33,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,0,0,0.0,1,0
5,6,2012-10-21,22-342,IND,,CLE,W 17-13,5,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,8,8.00,0,0,0,0.0,0,0
6,7,2012-10-28,22-349,IND,@,TEN,W 19-13,6,5,35,7.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,13,13.00,0,0,0,0.0,0,0
7,8,2012-11-04,22-356,IND,,MIA,W 23-20,11,6,102,17.00,1,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,4,29,7.25,0,1,6,0.0,0,0
8,9,2012-11-08,22-360,IND,@,JAX,W 27-10,1,0,0,,0,2,30,15.00,0,0,0,,0,0,0,,,,0,0,,0,1,12,12.00,0,0,0,0.0,0,0
9,10,2012-11-18,23-004,IND,@,NWE,L 24-59,9,6,100,16.67,2,0,0,,0,0,0,,0,0,0,,,,5,73,14.60,0,1,7,7.00,0,2,12,0.0,0,0
10,11,2012-11-25,23-011,IND,,BUF,W 20-13,3,3,33,11.00,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,4,111,27.75,1,1,12,0.0,0,0
11,12,2012-12-02,23-018,IND,@,DET,W 35-33,12,6,100,16.67,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,6,3.00,0,0,0,0.0,0,0
12,13,2012-12-09,23-025,IND,,TEN,W 27-23,5,2,50,25.00,0,1,-2,-2.00,0,0,0,,0,0,0,,,,0,0,,0,2,24,12.00,0,0,0,0.0,0,0
13,14,2012-12-16,23-032,IND,@,HOU,L 17-29,6,3,78,26.00,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,18,9.00,0,1,6,0.0,0,0
14,15,2012-12-23,23-039,IND,@,KAN,W 20-13,4,2,34,17.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
15,16,2012-12-30,23-046,IND,,HOU,W 28-16,6,4,111,27.75,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,19,19.00,0,1,6,0.0,0,0
,,15 Games,,,,,11-4-0,90,50,861,17.22,7,5,29,5.80,0,0,1,0.00,0,0,0,39.6,0.00,0.00,7,118,16.86,0,26,300,11.54,1,7,48,0.0,1,0
