
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,23-298,IND,,OAK,W 21-17,5,3,20,6.67,0,0,0,,0,1,23,23.00,0,0,0,0.0,0,0
2,2,2013-09-15,23-305,IND,,MIA,L 20-24,12,6,124,20.67,0,0,0,,0,1,7,7.00,0,0,0,0.0,0,0
3,3,2013-09-22,23-312,IND,@,SFO,W 27-7,4,2,13,6.50,0,0,0,,0,2,16,8.00,0,0,0,0.0,0,0
4,4,2013-09-29,23-319,IND,@,JAX,W 37-3,9,4,45,11.25,0,2,6,3.00,0,5,19,3.80,0,0,0,0.0,1,0
5,5,2013-10-06,23-326,IND,,SEA,W 34-28,6,5,140,28.00,2,0,0,,0,0,0,,0,2,12,0.0,0,0
6,6,2013-10-14,23-334,IND,@,SDG,L 9-19,8,5,43,8.60,0,0,0,,0,2,10,5.00,0,0,0,0.0,0,0
7,7,2013-10-20,23-340,IND,,DEN,W 39-33,11,2,27,13.50,0,0,0,,0,3,35,11.67,0,0,0,0.0,1,0
8,8,2013-11-03,23-354,IND,@,HOU,W 27-24,12,7,121,17.29,3,0,0,,0,1,34,34.00,0,3,18,0.0,0,0
9,9,2013-11-10,23-361,IND,,STL,L 8-38,8,7,130,18.57,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,10,2013-11-14,24-000,IND,@,TEN,W 30-27,9,5,44,8.80,0,0,0,,0,2,15,7.50,0,0,0,0.0,0,0
11,11,2013-11-24,24-010,IND,@,ARI,L 11-40,9,5,38,7.60,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,12,2013-12-01,24-017,IND,,TEN,W 22-14,7,5,46,9.20,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,13,2013-12-08,24-024,IND,@,CIN,L 28-42,5,2,7,3.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,14,2013-12-15,24-031,IND,,HOU,W 25-3,12,8,78,9.75,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,15,2013-12-22,24-038,IND,@,KAN,W 23-7,7,5,52,10.40,0,0,0,,0,0,0,,0,0,0,0.0,0,0
16,16,2013-12-29,24-045,IND,,JAX,W 30-10,15,11,155,14.09,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,11-5-0,139,82,1083,13.21,5,2,6,3.00,0,17,159,9.35,0,5,30,0.0,2,0
