
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,22-363,IND,@,CHI,L 21-41,*,23,45,51.11,309,1,3,52.9,6.87,4.31,2,9,4.50,0,0,0
2,2,2012-09-16,23-004,IND,,MIN,W 23-20,*,20,31,64.52,224,2,0,107.5,7.23,8.52,4,21,5.25,0,0,0
3,3,2012-09-23,23-011,IND,,JAX,L 17-22,*,22,46,47.83,313,2,1,75.7,6.80,6.70,4,50,12.50,0,0,0
4,4,2012-10-07,23-025,IND,,GNB,W 30-27,*,31,55,56.36,362,2,1,81.0,6.58,6.49,6,24,4.00,1,1,6
5,5,2012-10-14,23-032,IND,@,NYJ,L 9-35,*,22,44,50.00,280,0,2,51.3,6.36,4.32,1,-1,-1.00,0,0,0
6,6,2012-10-21,23-039,IND,,CLE,W 17-13,*,16,29,55.17,186,0,0,74.8,6.41,6.41,3,12,4.00,2,2,12
7,7,2012-10-28,23-046,IND,@,TEN,W 19-13,*,26,38,68.42,297,1,1,89.5,7.82,7.16,6,28,4.67,0,0,0
8,8,2012-11-04,23-053,IND,,MIA,W 23-20,*,30,48,62.50,433,2,0,105.6,9.02,9.85,1,5,5.00,0,0,0
9,9,2012-11-08,23-057,IND,@,JAX,W 27-10,*,18,26,69.23,227,0,1,80.1,8.73,7.00,7,11,1.57,2,2,12
10,10,2012-11-18,23-067,IND,@,NWE,L 24-59,*,27,50,54.00,334,2,3,63.2,6.68,4.78,1,4,4.00,0,0,0
11,11,2012-11-25,23-074,IND,,BUF,W 20-13,*,20,37,54.05,240,1,1,71.9,6.49,5.81,6,20,3.33,0,0,0
12,12,2012-12-02,23-081,IND,@,DET,W 35-33,*,24,54,44.44,391,4,3,70.8,7.24,6.22,3,33,11.00,0,0,0
13,13,2012-12-09,23-088,IND,,TEN,W 27-23,*,16,34,47.06,196,1,2,50.6,5.76,3.71,5,7,1.40,0,0,0
14,14,2012-12-16,23-095,IND,@,HOU,L 17-29,*,13,27,48.15,186,2,0,95.6,6.89,8.37,2,10,5.00,0,0,0
15,15,2012-12-23,23-102,IND,@,KAN,W 20-13,*,17,35,48.57,205,1,0,76.5,5.86,6.43,6,21,3.50,0,0,0
16,16,2012-12-30,23-109,IND,,HOU,W 28-16,*,14,28,50.00,191,2,0,96.0,6.82,8.25,5,1,0.20,0,0,0
,,16 Games,,,,,11-5-0,,339,627,54.07,4374,23,18,76.5,6.98,6.42,62,255,4.11,5,5,30
