
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,23-361,IND,,OAK,W 21-17,*,18,23,78.26,178,2,0,127.9,7.74,9.48,6,38,6.33,1,1,6,0.0,0,0
2,2,2013-09-15,24-003,IND,,MIA,L 20-24,*,25,43,58.14,321,1,1,79.7,7.47,6.88,4,38,9.50,0,0,0,0.0,0,0
3,3,2013-09-22,24-010,IND,@,SFO,W 27-7,*,17,26,65.38,159,0,0,82.1,6.12,6.12,4,24,6.00,1,1,6,0.0,0,0
4,4,2013-09-29,24-017,IND,@,JAX,W 37-3,*,21,35,60.00,257,2,1,89.8,7.34,7.20,2,26,13.00,0,0,0,0.0,0,0
5,5,2013-10-06,24-024,IND,,SEA,W 34-28,*,16,29,55.17,229,2,0,104.0,7.90,9.28,4,9,2.25,0,0,0,0.0,0,0
6,6,2013-10-14,24-032,IND,@,SDG,L 9-19,*,18,30,60.00,202,0,1,66.3,6.73,5.23,4,19,4.75,0,0,0,0.0,0,0
7,7,2013-10-20,24-038,IND,,DEN,W 39-33,*,21,38,55.26,228,3,0,99.5,6.00,7.58,4,29,7.25,1,1,6,0.0,0,0
8,8,2013-11-03,24-052,IND,@,HOU,W 27-24,*,18,40,45.00,271,3,0,92.8,6.78,8.28,0,0,,0,0,0,0.0,0,0
9,9,2013-11-10,24-059,IND,,STL,L 8-38,*,29,47,61.70,353,1,3,65.3,7.51,5.06,4,17,4.25,0,0,0,0.0,1,0
10,10,2013-11-14,24-063,IND,@,TEN,W 30-27,*,23,36,63.89,232,0,0,82.2,6.44,6.44,9,31,3.44,1,1,6,0.0,0,0
11,11,2013-11-24,24-073,IND,@,ARI,L 11-40,*,20,39,51.28,163,1,1,60.1,4.18,3.54,2,31,15.50,0,0,0,0.0,0,0
12,12,2013-12-01,24-080,IND,,TEN,W 22-14,*,17,32,53.13,200,0,1,59.4,6.25,4.84,5,42,8.40,0,0,0,0.0,0,0
13,13,2013-12-08,24-087,IND,@,CIN,L 28-42,*,29,46,63.04,326,4,0,113.1,7.09,8.83,2,32,16.00,0,0,0,0.0,0,0
14,14,2013-12-15,24-094,IND,,HOU,W 25-3,*,19,32,59.38,180,2,1,82.8,5.63,5.47,5,29,5.80,0,0,0,0.0,0,1
15,15,2013-12-22,24-101,IND,@,KAN,W 23-7,*,26,37,70.27,241,1,0,96.8,6.51,7.05,6,5,0.83,0,0,0,0.0,0,0
16,16,2013-12-29,24-108,IND,,JAX,W 30-10,*,26,37,70.27,282,1,0,101.4,7.62,8.16,2,7,3.50,0,0,0,0.0,0,0
,,16 Games,,,,,11-5-0,,343,570,60.18,3822,23,9,87.0,6.71,6.80,63,377,5.98,4,4,24,0.0,1,1
