
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,7,2011-10-23,28-066,IND,@,NOR,L 7-62,,3,5,60.00,35,0,0,81.2,7.00,7.00,0,0,,0
2,9,2011-11-06,28-080,IND,,ATL,L 7-31,,4,6,66.67,20,0,0,71.5,3.33,3.33,0,0,,0
3,10,2011-11-13,28-087,IND,,JAX,L 3-17,,7,10,70.00,67,0,0,88.3,6.70,6.70,0,0,,0
4,12,2011-12-04,28-108,IND,@,NWE,L 24-31,*,30,37,81.08,353,2,1,113.2,9.54,9.41,1,-1,-1.00,0
5,13,2011-12-11,28-115,IND,@,BAL,L 10-24,*,17,37,45.95,136,1,1,53.4,3.68,3.00,0,0,,0
6,14,2011-12-18,28-122,IND,,TEN,W 27-13,*,11,17,64.71,82,1,0,95.7,4.82,6.00,3,-3,-1.00,0
7,15,2011-12-22,28-126,IND,,HOU,W 19-16,*,23,41,56.10,244,1,0,81.8,5.95,6.44,1,2,2.00,0
8,16,2012-01-01,28-136,IND,@,JAX,L 13-19,*,27,40,67.50,264,1,2,73.3,6.60,4.85,1,7,7.00,0
,,8 Games,,,,,2-6-0,,122,193,63.21,1201,6,4,82.4,6.22,5.91,6,5,0.83,0
