
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2013-09-08,23-060,CLE,,MIA,L 10-23,13,47,3.62,0,6,2,30,15.00,0,0,0
2,2,2013-09-15,23-067,CLE,@,BAL,L 6-14,18,58,3.22,0,5,5,21,4.20,0,0,0
3,3,2013-09-22,23-074,IND,@,SFO,W 27-7,13,35,2.69,1,3,0,0,,0,1,6
4,4,2013-09-29,23-081,IND,@,JAX,W 37-3,20,60,3.00,1,1,1,6,6.00,0,1,6
5,5,2013-10-06,23-088,IND,,SEA,W 34-28,18,56,3.11,0,1,0,0,,0,0,0
6,6,2013-10-14,23-096,IND,@,SDG,L 9-19,10,40,4.00,0,2,1,13,13.00,0,0,0
7,7,2013-10-20,23-102,IND,,DEN,W 39-33,14,37,2.64,0,0,0,0,,0,0,0
8,8,2013-11-03,23-116,IND,@,HOU,W 27-24,8,20,2.50,0,3,2,33,16.50,0,0,0
9,9,2013-11-10,23-123,IND,,STL,L 8-38,5,2,0.40,0,5,3,33,11.00,0,0,0
10,10,2013-11-14,23-127,IND,@,TEN,W 30-27,8,22,2.75,0,5,5,31,6.20,0,0,0
11,11,2013-11-24,23-137,IND,@,ARI,L 11-40,7,15,2.14,0,2,2,11,5.50,0,0,0
12,12,2013-12-01,23-144,IND,,TEN,W 22-14,5,19,3.80,0,0,0,0,,0,0,0
13,13,2013-12-08,23-151,IND,@,CIN,L 28-42,6,20,3.33,0,6,5,68,13.60,0,0,0
14,14,2013-12-15,23-158,IND,,HOU,W 25-3,19,64,3.37,0,6,4,38,9.50,1,1,6
15,15,2013-12-22,23-165,IND,@,KAN,W 23-7,16,43,2.69,0,5,3,15,5.00,0,0,0
16,16,2013-12-29,23-172,IND,,JAX,W 30-10,8,25,3.13,1,2,2,17,8.50,0,1,6
,,16 Games,,,,,10-6-0,188,563,2.99,3,52,35,316,9.03,1,4,24
