
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,33-297,IND,@,CHI,L 21-41,18,9,135,15.00,0,0,0,,0,0,0
2,2,2012-09-16,33-304,IND,,MIN,W 23-20,7,6,71,11.83,1,0,0,,0,1,6
3,3,2012-09-23,33-311,IND,,JAX,L 17-22,15,8,88,11.00,0,0,0,,0,0,0
4,4,2012-10-07,33-325,IND,,GNB,W 30-27,20,13,212,16.31,1,0,0,,0,1,6
5,5,2012-10-14,33-332,IND,@,NYJ,L 9-35,10,5,87,17.40,0,0,0,,0,0,0
6,6,2012-10-21,33-339,IND,,CLE,W 17-13,11,6,73,12.17,0,0,0,,0,0,0
7,7,2012-10-28,33-346,IND,@,TEN,W 19-13,11,7,91,13.00,0,0,0,,0,0,0
8,8,2012-11-04,33-353,IND,,MIA,W 23-20,9,7,78,11.14,1,0,0,,0,1,6
9,9,2012-11-08,33-357,IND,@,JAX,W 27-10,11,8,96,12.00,0,0,0,,0,0,0
10,10,2012-11-18,34-001,IND,@,NWE,L 24-59,18,7,72,10.29,0,0,0,,0,0,0
11,11,2012-11-25,34-008,IND,,BUF,W 20-13,14,8,102,12.75,0,0,0,,0,0,0
12,12,2012-12-02,34-015,IND,@,DET,W 35-33,9,4,51,12.75,0,0,0,,0,0,0
13,13,2012-12-09,34-022,IND,,TEN,W 27-23,10,6,64,10.67,1,1,-5,-5.00,0,1,6
14,14,2012-12-16,34-029,IND,@,HOU,L 17-29,8,3,14,4.67,0,0,0,,0,0,0
15,15,2012-12-23,34-036,IND,@,KAN,W 20-13,12,5,81,16.20,1,0,0,,0,1,6
16,16,2012-12-30,34-043,IND,,HOU,W 28-16,12,4,40,10.00,0,0,0,,0,0,0
,,16 Games,,,,,11-5-0,195,106,1355,12.78,5,1,-5,-5.00,0,5,30
