
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-08,24-158,ARI,,SDG,W 18-17,5,2,29,14.50,1,0,0,,0,1,6,0.0,0,0
2,2,2014-09-14,24-164,ARI,@,NYG,W 25-14,4,3,28,9.33,0,1,2,2.00,0,0,0,0.0,0,0
3,3,2014-09-21,24-171,ARI,,SFO,W 23-14,6,4,52,13.00,2,0,0,,0,2,12,0.0,0,0
4,4,2014-10-05,24-185,ARI,@,DEN,L 20-41,7,2,4,2.00,0,0,0,,0,0,0,0.0,0,0
5,5,2014-10-12,24-192,ARI,,WAS,W 30-20,6,4,43,10.75,0,0,0,,0,0,0,0.0,0,0
6,6,2014-10-19,24-199,ARI,@,OAK,W 24-13,5,2,41,20.50,0,1,-5,-5.00,0,0,0,0.0,0,0
7,7,2014-10-26,24-206,ARI,,PHI,W 24-20,10,5,119,23.80,1,0,0,,0,1,6,0.0,0,0
8,8,2014-11-02,24-213,ARI,@,DAL,W 28-17,5,2,10,5.00,0,1,-3,-3.00,0,0,0,0.0,0,0
9,9,2014-11-09,24-220,ARI,,STL,W 31-14,8,5,73,14.60,1,0,0,,0,1,6,0.0,0,0
10,10,2014-11-16,24-227,ARI,,DET,W 14-6,9,5,69,13.80,0,0,0,,0,0,0,0.0,0,0
11,11,2014-11-23,24-234,ARI,@,SEA,L 3-19,5,3,61,20.33,0,0,0,,0,0,0,0.0,0,0
12,12,2014-11-30,24-241,ARI,@,ATL,L 18-29,5,2,40,20.00,0,0,0,,0,0,0,0.0,0,0
13,13,2014-12-07,24-248,ARI,,KAN,W 17-14,4,0,0,,0,0,0,,0,0,0,0.0,0,0
14,14,2014-12-11,24-252,ARI,@,STL,W 12-6,6,2,22,11.00,0,0,0,,0,0,0,0.0,0,0
15,15,2014-12-21,24-262,ARI,,SEA,L 6-35,8,3,54,18.00,0,0,0,,0,0,0,0.0,1,0
16,16,2014-12-28,24-269,ARI,@,SFO,L 17-20,9,4,51,12.75,0,0,0,,0,0,0,0.0,2,0
,,16 Games,,,,,11-5-0,102,48,696,14.50,5,3,-6,-2.00,0,5,30,0.0,3,0
