
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,25-318,ARI,,CAR,W 28-21,3,3,105,35.00,1,1,6,0.0,0,0
2,2,2011-09-18,25-325,ARI,@,WAS,L 21-22,6,2,20,10.00,0,0,0,0.0,0,0
3,3,2011-09-25,25-332,ARI,@,SEA,L 10-13,6,5,50,10.00,0,0,0,0.0,0,0
4,4,2011-10-02,25-339,ARI,,NYG,L 27-31,6,3,42,14.00,0,0,0,0.0,0,1
5,5,2011-10-09,25-346,ARI,@,MIN,L 10-34,16,8,92,11.50,0,0,0,0.0,1,0
6,6,2011-10-23,25-360,ARI,,PIT,L 20-32,5,5,30,6.00,1,1,6,0.0,0,0
7,7,2011-10-30,26-002,ARI,@,BAL,L 27-30,6,2,20,10.00,1,1,6,0.0,0,0
8,8,2011-11-06,26-009,ARI,,STL,W 19-13,6,6,78,13.00,0,0,0,0.0,0,0
9,9,2011-11-13,26-016,ARI,@,PHI,W 21-17,4,2,24,12.00,1,1,6,0.0,0,0
10,10,2011-11-20,26-023,ARI,@,SFO,L 7-23,10,6,50,8.33,0,0,0,0.0,0,0
11,11,2011-11-27,26-030,ARI,@,STL,W 23-20,1,1,14,14.00,0,0,0,0.0,0,0
12,12,2011-12-04,26-037,ARI,,DAL,W 19-13,6,2,0,0.00,0,0,0,0.0,0,0
13,13,2011-12-11,26-044,ARI,,SFO,W 21-19,4,3,73,24.33,1,1,6,0.0,0,0
14,14,2011-12-18,26-051,ARI,,CLE,W 20-17,9,3,37,12.33,0,0,0,0.0,1,0
15,15,2011-12-24,26-057,ARI,@,CIN,L 16-23,6,2,47,23.50,0,0,0,0.0,0,0
16,16,2012-01-01,26-065,ARI,,SEA,W 23-20,3,1,7,7.00,0,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,97,54,689,12.76,5,5,30,0.0,2,1
