
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-08,25-217,ARI,,SDG,W 18-17,13,53,4.08,0,5,5,27,5.40,0,0,0,0.0,0,0
2,2,2014-09-14,25-223,ARI,@,NYG,W 25-14,15,91,6.07,0,3,1,10,10.00,0,0,0,0.0,0,0
3,3,2014-09-21,25-230,ARI,,SFO,W 23-14,18,62,3.44,0,4,3,13,4.33,0,0,0,0.0,0,0
4,4,2014-10-05,25-244,ARI,@,DEN,L 20-41,16,32,2.00,1,7,4,112,28.00,1,2,12,0.0,0,0
5,5,2014-10-12,25-251,ARI,,WAS,W 30-20,19,67,3.53,0,9,6,26,4.33,0,0,0,0.0,0,0
6,6,2014-10-19,25-258,ARI,@,OAK,W 24-13,24,88,3.67,0,9,6,72,12.00,0,0,0,0.0,0,0
7,7,2014-10-26,25-265,ARI,,PHI,W 24-20,23,71,3.09,1,6,3,14,4.67,0,1,6,0.0,0,0
8,8,2014-11-02,25-272,ARI,@,DAL,W 28-17,21,95,4.52,0,4,4,39,9.75,1,1,6,0.0,0,0
9,9,2014-11-09,25-279,ARI,,STL,W 31-14,18,23,1.28,1,5,5,19,3.80,0,1,6,0.0,0,0
10,10,2014-11-16,25-286,ARI,,DET,W 14-6,19,42,2.21,0,4,4,24,6.00,0,0,0,0.0,1,0
11,11,2014-11-23,25-293,ARI,@,SEA,L 3-19,10,24,2.40,0,8,5,39,7.80,0,0,0,0.0,0,0
12,12,2014-11-30,25-300,ARI,@,ATL,L 18-29,5,12,2.40,0,0,0,0,,0,0,0,0.0,0,0
,,12 Games,,,,,9-3-0,201,660,3.28,3,64,46,395,8.59,2,5,30,0.0,1,0
