
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-011,ARI,,CAR,W 28-21,7,3,62,20.67,0,0,0,0.0,0,0
2,2,2011-09-18,28-018,ARI,@,WAS,L 21-22,9,7,133,19.00,1,1,6,0.0,0,0
3,3,2011-09-25,28-025,ARI,@,SEA,L 10-13,8,5,64,12.80,1,1,6,0.0,0,0
4,4,2011-10-02,28-032,ARI,,NYG,L 27-31,11,8,102,12.75,0,0,0,0.0,1,0
5,5,2011-10-09,28-039,ARI,@,MIN,L 10-34,8,4,66,16.50,0,0,0,0.0,0,0
6,6,2011-10-23,28-053,ARI,,PIT,L 20-32,10,4,78,19.50,0,0,0,0.0,1,0
7,7,2011-10-30,28-060,ARI,@,BAL,L 27-30,5,3,98,32.67,0,0,0,0.0,0,0
8,8,2011-11-06,28-067,ARI,,STL,W 19-13,12,4,43,10.75,1,1,6,0.0,0,0
9,9,2011-11-13,28-074,ARI,@,PHI,W 21-17,13,7,146,20.86,2,2,12,0.0,0,0
10,10,2011-11-20,28-081,ARI,@,SFO,L 7-23,9,3,41,13.67,1,1,6,0.0,1,0
11,11,2011-11-27,28-088,ARI,@,STL,W 23-20,9,3,55,18.33,0,0,0,0.0,0,0
12,12,2011-12-04,28-095,ARI,,DAL,W 19-13,7,4,55,13.75,0,0,0,0.0,0,0
13,13,2011-12-11,28-102,ARI,,SFO,W 21-19,9,7,149,21.29,1,1,6,0.0,1,0
14,14,2011-12-18,28-109,ARI,,CLE,W 20-17,8,3,65,21.67,0,0,0,0.0,0,0
15,15,2011-12-24,28-115,ARI,@,CIN,L 16-23,11,6,105,17.50,1,1,6,0.0,0,0
16,16,2012-01-01,28-123,ARI,,SEA,W 23-20,18,9,149,16.56,0,0,0,0.0,0,0
,,16 Games,,,,,8-8-0,154,80,1411,17.64,8,8,48,0.0,4,0
