
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,29-009,ARI,,SEA,W 20-16,11,4,63,15.75,0,0,0
2,2,2012-09-16,29-016,ARI,@,NWE,W 20-18,5,1,4,4.00,0,0,0
3,3,2012-09-23,29-023,ARI,,PHI,W 27-6,9,9,114,12.67,1,1,6
4,4,2012-09-30,29-030,ARI,,MIA,W 24-21,15,8,64,8.00,1,1,6
5,5,2012-10-04,29-034,ARI,@,STL,L 3-17,15,8,92,11.50,0,0,0
6,6,2012-10-14,29-044,ARI,,BUF,L 16-19,12,6,93,15.50,1,1,6
7,7,2012-10-21,29-051,ARI,@,MIN,L 14-21,7,4,29,7.25,0,0,0
8,8,2012-10-29,29-059,ARI,,SFO,L 3-24,11,5,52,10.40,0,0,0
9,9,2012-11-04,29-065,ARI,@,GNB,L 17-31,12,6,74,12.33,1,1,6
10,10,2012-11-18,29-079,ARI,@,ATL,L 19-23,7,1,11,11.00,0,0,0
11,11,2012-11-25,29-086,ARI,,STL,L 17-31,12,3,31,10.33,0,0,0
12,12,2012-12-02,29-093,ARI,@,NYJ,L 6-7,7,1,23,23.00,0,0,0
13,13,2012-12-09,29-100,ARI,@,SEA,L 0-58,11,1,2,2.00,0,0,0
14,14,2012-12-16,29-107,ARI,,DET,W 38-10,5,4,22,5.50,0,0,0
15,15,2012-12-23,29-114,ARI,,CHI,L 13-28,12,8,111,13.88,0,0,0
16,16,2012-12-30,29-121,ARI,@,SFO,L 13-27,5,2,13,6.50,0,0,0
,,16 Games,,,,,5-11-0,156,71,798,11.24,4,4,24
