
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,30-008,ARI,@,STL,L 24-27,14,8,80,10.00,2,0,0,,0,0,0,,0,0,0,,,,2,12,0.0,0,0
2,2,2013-09-15,30-015,ARI,,DET,W 25-21,5,2,33,16.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
3,3,2013-09-22,30-022,ARI,@,NOR,L 7-31,6,5,64,12.80,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
4,4,2013-09-29,30-029,ARI,@,TAM,W 13-10,9,6,68,11.33,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,1,0
5,5,2013-10-06,30-036,ARI,,CAR,W 22-6,6,3,43,14.33,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
6,6,2013-10-13,30-043,ARI,@,SFO,L 20-32,12,6,117,19.50,1,1,4,4.00,0,0,0,,0,0,0,,,,1,6,0.0,0,0
7,7,2013-10-17,30-047,ARI,,SEA,L 22-34,5,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
8,8,2013-10-27,30-057,ARI,,ATL,W 27-13,7,4,48,12.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
9,9,2013-11-10,30-071,ARI,,HOU,W 27-24,6,3,23,7.67,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,1,0
10,10,2013-11-17,30-078,ARI,@,JAX,W 27-14,9,6,61,10.17,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
11,11,2013-11-24,30-085,ARI,,IND,W 40-11,11,5,52,10.40,2,1,4,4.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,2,12,0.0,0,0
12,12,2013-12-01,30-092,ARI,@,PHI,L 21-24,8,5,72,14.40,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,1,0
13,13,2013-12-08,30-099,ARI,,STL,W 30-10,12,12,96,8.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
14,14,2013-12-15,30-106,ARI,@,TEN,W 37-34,9,6,49,8.17,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
15,15,2013-12-22,30-113,ARI,@,SEA,W 17-10,5,3,18,6.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,1,0
16,16,2013-12-29,30-120,ARI,,SFO,L 20-23,11,6,113,18.83,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
,,16 Games,,,,,10-6-0,135,82,954,11.63,10,2,8,4.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,10,60,0.0,4,0
