
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-08,24-285,ARI,,SDG,W 18-17,7,5,119,23.80,0,1,2,2.00,0,0,0,0.0,0,0
2,2,2014-09-14,24-291,ARI,@,NYG,W 25-14,6,1,19,19.00,0,0,0,,0,0,0,0.0,0,0
3,3,2014-09-21,24-298,ARI,,SFO,W 23-14,9,5,114,22.80,0,0,0,,0,0,0,0.0,0,0
4,4,2014-10-05,24-312,ARI,@,DEN,L 20-41,7,1,7,7.00,0,0,0,,0,0,0,0.0,0,0
5,5,2014-10-12,24-319,ARI,,WAS,W 30-20,7,4,47,11.75,1,0,0,,0,1,6,0.0,0,0
6,6,2014-10-19,24-326,ARI,@,OAK,W 24-13,3,3,47,15.67,1,0,0,,0,1,6,0.0,0,0
7,7,2014-10-26,24-333,ARI,,PHI,W 24-20,4,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2014-11-02,24-340,ARI,@,DAL,W 28-17,5,4,36,9.00,0,0,0,,0,0,0,0.0,0,0
9,9,2014-11-09,24-347,ARI,,STL,W 31-14,4,1,11,11.00,0,0,0,,0,0,0,0.0,0,0
10,10,2014-11-16,24-354,ARI,,DET,W 14-6,5,2,54,27.00,2,0,0,,0,2,12,0.0,0,0
11,11,2014-11-23,24-361,ARI,@,SEA,L 3-19,2,0,0,,0,0,0,,0,0,0,0.0,0,0
12,12,2014-11-30,25-003,ARI,@,ATL,L 18-29,10,5,53,10.60,0,0,0,,0,0,0,0.0,1,0
13,13,2014-12-07,25-010,ARI,,KAN,W 17-14,7,4,85,21.25,0,0,0,,0,0,0,0.0,0,0
14,14,2014-12-11,25-014,ARI,@,STL,W 12-6,3,2,55,27.50,0,0,0,,0,0,0,0.0,0,0
15,15,2014-12-21,25-024,ARI,,SEA,L 6-35,8,2,41,20.50,0,0,0,,0,0,0,0.0,0,0
16,16,2014-12-28,25-031,ARI,@,SFO,L 17-20,12,8,153,19.13,2,0,0,,0,2,12,0.0,0,0
,,16 Games,,,,,11-5-0,99,47,841,17.89,6,1,2,2.00,0,6,36,0.0,1,0
