
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Tkl,Ast
1,1,2011-09-11,27-018,ARI,,CAR,W 28-21,*,18,27,66.67,309,2,0,130.0,11.44,12.93,4,-1,-0.25,0,0.0,1,0
2,2,2011-09-18,27-025,ARI,@,WAS,L 21-22,*,17,30,56.67,251,2,1,92.5,8.37,8.20,0,0,,0,0.0,0,0
3,3,2011-09-25,27-032,ARI,@,SEA,L 10-13,*,25,39,64.10,252,1,2,69.6,6.46,4.67,3,16,5.33,0,0.0,0,0
4,4,2011-10-02,27-039,ARI,,NYG,L 27-31,*,20,34,58.82,237,0,1,67.9,6.97,5.65,2,1,0.50,0,0.0,0,0
5,5,2011-10-09,27-046,ARI,@,MIN,L 10-34,*,21,42,50.00,232,0,2,46.9,5.52,3.38,2,10,5.00,0,0.0,0,0
6,6,2011-10-23,27-060,ARI,,PIT,L 20-32,*,18,34,52.94,272,2,1,86.9,8.00,7.85,2,14,7.00,0,0.0,0,0
7,7,2011-10-30,27-067,ARI,@,BAL,L 27-30,*,10,21,47.62,153,1,1,68.2,7.29,6.10,1,5,5.00,0,0.0,0,0
8,12,2011-12-04,27-102,ARI,,DAL,W 19-13,*,16,25,64.00,247,1,0,109.9,9.88,10.68,3,20,6.67,0,0.0,0,0
9,13,2011-12-11,27-109,ARI,,SFO,W 21-19,*,1,1,100.00,2,0,0,79.2,2.00,2.00,0,0,,0,0.0,0,0
,,9 Games,,,,,3-6-0,,146,253,57.71,1955,9,8,81.1,7.73,7.02,17,65,3.82,0,0.0,1,0
