
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,26-081,ARI,@,STL,L 24-27,16,60,3.75,0,1,1,4,4.00,0,,0,0,0.0,0,0
2,2,2013-09-15,26-088,ARI,,DET,W 25-21,15,66,4.40,1,2,2,28,14.00,0,,1,6,0.0,0,0
3,3,2013-09-22,26-095,ARI,@,NOR,L 7-31,9,29,3.22,0,1,1,12,12.00,0,,0,0,0.0,0,0
4,4,2013-09-29,26-102,ARI,@,TAM,W 13-10,12,21,1.75,0,4,3,13,4.33,0,,0,0,0.0,0,0
5,5,2013-10-06,26-109,ARI,,CAR,W 22-6,17,43,2.53,1,2,2,7,3.50,0,,1,6,0.0,0,0
6,6,2013-10-13,26-116,ARI,@,SFO,L 20-32,10,40,4.00,0,1,1,2,2.00,0,,0,0,0.0,0,0
7,7,2013-10-17,26-120,ARI,,SEA,L 22-34,13,22,1.69,1,0,0,0,,0,,1,6,0.0,0,0
8,9,2013-11-10,26-144,ARI,,HOU,W 27-24,13,42,3.23,0,1,1,9,9.00,0,,0,0,0.0,0,0
9,10,2013-11-17,26-151,ARI,@,JAX,W 27-14,12,14,1.17,1,3,3,13,4.33,0,,1,6,0.0,0,0
10,11,2013-11-24,26-158,ARI,,IND,W 40-11,13,54,4.15,1,2,1,24,24.00,0,,1,6,0.0,0,0
11,12,2013-12-01,26-165,ARI,@,PHI,L 21-24,18,76,4.22,0,0,0,0,,0,,0,0,0.0,0,0
12,13,2013-12-08,26-172,ARI,,STL,W 30-10,17,41,2.41,1,0,0,0,,0,,1,6,0.0,0,0
13,14,2013-12-15,26-179,ARI,@,TEN,W 37-34,21,69,3.29,2,2,1,9,9.00,0,,2,12,0.0,0,0
14,15,2013-12-22,26-186,ARI,@,SEA,W 17-10,21,63,3.00,0,0,0,0,,0,1,0,2,0.0,0,0
15,16,2013-12-29,26-193,ARI,,SFO,L 20-23,10,47,4.70,0,2,2,13,6.50,0,,0,0,0.0,1,0
,,15 Games,,,,,9-6-0,217,687,3.17,8,21,18,134,7.44,0,1,8,50,0.0,1,0
